Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	SYNC	SYNCREF
t23	1	2	3	4	5	6	685	173	113	113
t13	1	2	3	4	5	6	56	28	17	17
t23	1	2	3	4	6	5	713	173	113	113
t13	1	2	3	4	6	5	56	28	17	17
t23	1	2	3	5	4	6	2564	173	113	113
t13	1	2	3	5	4	6	56	28	17	17
t23	1	2	3	5	6	4	1790	173	113	113
t13	1	2	3	5	6	4	56	28	17	17
t23	1	2	3	6	4	5	0	173	113	113
t13	1	2	3	6	4	5	0	28	17	17
t23	1	2	3	6	5	4	0	173	113	113
t13	1	2	3	6	5	4	0	28	17	17
t23	1	2	4	3	5	6	552	173	113	113
t13	1	2	4	3	5	6	69	31	20	20
t23	1	2	4	3	6	5	562	173	113	113
t13	1	2	4	3	6	5	69	31	20	20
t23	1	2	4	5	3	6	2327	173	113	113
t13	1	2	4	5	3	6	286	47	26	26
t23	1	2	4	5	6	3	1606	173	113	113
t13	1	2	4	5	6	3	232	34	22	22
t23	1	2	4	6	3	5	0	173	113	113
t13	1	2	4	6	3	5	0	47	26	26
t23	1	2	4	6	5	3	0	173	113	113
t13	1	2	4	6	5	3	0	34	22	22
t23	1	2	5	3	4	6	405	173	113	113
t13	1	2	5	3	4	6	101	51	29	29
t23	1	2	5	3	6	4	433	173	113	113
t13	1	2	5	3	6	4	135	46	25	25
t23	1	2	5	4	3	6	458	173	113	113
t13	1	2	5	4	3	6	111	51	29	29
t23	1	2	5	4	6	3	600	173	113	113
t13	1	2	5	4	6	3	150	46	25	25
t23	1	2	5	6	3	4	0	173	113	113
t13	1	2	5	6	3	4	0	53	31	31
t23	1	2	5	6	4	3	0	173	113	113
t13	1	2	5	6	4	3	0	53	31	31
t23	1	2	6	3	4	5	134	39	29	29
t13	1	2	6	3	4	5	155	61	35	35
t23	1	2	6	3	5	4	148	39	29	29
t13	1	2	6	3	5	4	156	61	35	35
t23	1	2	6	4	3	5	171	39	29	29
t13	1	2	6	4	3	5	160	61	35	35
t23	1	2	6	4	5	3	165	39	29	29
t13	1	2	6	4	5	3	161	61	35	35
t23	1	2	6	5	3	4	303	39	29	29
