Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	diff
t22	1	2	3	4	5	6	146	146	0
t23	1	2	3	4	5	6	466	466	0
t11	1	2	3	4	5	6	10	10	0
t12	1	2	3	4	5	6	12	12	0
t13	1	2	3	4	5	6	34	34	0
t21	1	2	3	4	5	6	73	73	0
t22	1	2	3	4	6	5	424	244	180
t23	1	2	3	4	6	5	216	147	69
t11	1	2	3	4	6	5	10	10	0
t12	1	2	3	4	6	5	12	12	0
t13	1	2	3	4	6	5	34	34	0
t21	1	2	3	4	6	5	73	73	0
t22	1	2	3	5	4	6	407	151	256
t23	1	2	3	5	4	6	1462	466	996
t11	1	2	3	5	4	6	10	10	0
t12	1	2	3	5	4	6	12	12	0
t13	1	2	3	5	4	6	34	34	0
t21	1	2	3	5	4	6	695	155	540
t22	1	2	3	5	6	4	1007	265	742
t23	1	2	3	5	6	4	310	125	185
t11	1	2	3	5	6	4	10	10	0
t12	1	2	3	5	6	4	12	12	0
t13	1	2	3	5	6	4	34	34	0
t21	1	2	3	5	6	4	473	94	379
t22	1	2	3	6	4	5	0	191	-191
t23	1	2	3	6	4	5	0	183	-183
t11	1	2	3	6	4	5	0	10	-10
t12	1	2	3	6	4	5	0	12	-12
t13	1	2	3	6	4	5	0	34	-34
t21	1	2	3	6	4	5	0	213	-213
t22	1	2	3	6	5	4	0	212	-212
t23	1	2	3	6	5	4	0	142	-142
t11	1	2	3	6	5	4	0	10	-10
t12	1	2	3	6	5	4	0	12	-12
t13	1	2	3	6	5	4	0	34	-34
t21	1	2	3	6	5	4	0	213	-213
t22	1	2	4	3	5	6	133	133	0
t23	1	2	4	3	5	6	390	390	0
t11	1	2	4	3	5	6	10	10	0
t12	1	2	4	3	5	6	12	12	0
t13	1	2	4	3	5	6	47	47	0
t21	1	2	4	3	5	6	29	29	0
t22	1	2	4	3	6	5	343	200	143
t23	1	2	4	3	6	5	190	147	43
t11	1	2	4	3	6	5	10	10	0
t12	1	2	4	3	6	5	12	12	0
t13	1	2	4	3	6	5	47	47	0
t21	1	2	4	3	6	5	29	29	0
t22	1	2	4	5	3	6	187	65	122
t23	1	2	4	5	3	6	1445	459	986
t11	1	2	4	5	3	6	10	10	0
t12	1	2	4	5	3	6	12	12	0
t13	1	2	4	5	3	6	264	55	209
t21	1	2	4	5	3	6	695	155	540
t22	1	2	4	5	6	3	1007	265	742
t23	1	2	4	5	6	3	126	45	81
t11	1	2	4	5	6	3	10	10	0
t12	1	2	4	5	6	3	12	12	0
t13	1	2	4	5	6	3	210	49	161
t21	1	2	4	5	6	3	473	94	379
t22	1	2	4	6	3	5	0	87	-87
t23	1	2	4	6	3	5	0	166	-166
t11	1	2	4	6	3	5	0	10	-10
t12	1	2	4	6	3	5	0	12	-12
t13	1	2	4	6	3	5	0	55	-55
t21	1	2	4	6	3	5	0	213	-213
t22	1	2	4	6	5	3	0	212	-212
t23	1	2	4	6	5	3	0	58	-58
t11	1	2	4	6	5	3	0	10	-10
t12	1	2	4	6	5	3	0	12	-12
t13	1	2	4	6	5	3	0	49	-49
t21	1	2	4	6	5	3	0	213	-213
