Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t23	1	2	3	4	5	6	685	173	173
t13	1	2	3	4	5	6	56	28	28
t23	1	2	3	4	6	5	713	173	173
t13	1	2	3	4	6	5	56	28	28
t23	1	2	3	5	4	6	2564	173	173
t13	1	2	3	5	4	6	56	28	28
t23	1	2	3	5	6	4	1790	173	173
t13	1	2	3	5	6	4	56	28	28
t23	1	2	3	6	4	5	0	173	173
t13	1	2	3	6	4	5	0	28	28
t23	1	2	3	6	5	4	0	173	173
t13	1	2	3	6	5	4	0	28	28
t23	1	2	4	3	5	6	552	173	173
t13	1	2	4	3	5	6	69	31	31
t23	1	2	4	3	6	5	562	173	173
t13	1	2	4	3	6	5	69	31	31
t23	1	2	4	5	3	6	2327	173	173
t13	1	2	4	5	3	6	286	28	49
t23	1	2	4	5	6	3	1606	173	173
t13	1	2	4	5	6	3	232	28	34
t23	1	2	4	6	3	5	0	173	173
t13	1	2	4	6	3	5	0	28	49
t23	1	2	4	6	5	3	0	173	173
t13	1	2	4	6	5	3	0	28	34
t23	1	2	5	3	4	6	405	173	173
t13	1	2	5	3	4	6	101	53	53
t23	1	2	5	3	6	4	433	173	173
t13	1	2	5	3	6	4	135	48	48
t23	1	2	5	4	3	6	458	173	173
t13	1	2	5	4	3	6	111	53	53
t23	1	2	5	4	6	3	600	173	173
t13	1	2	5	4	6	3	150	48	48
t23	1	2	5	6	3	4	0	173	173
t13	1	2	5	6	3	4	0	28	55
t23	1	2	5	6	4	3	0	173	173
t13	1	2	5	6	4	3	0	28	55
t23	1	2	6	3	4	5	134	53	53
t13	1	2	6	3	4	5	155	75	75
t23	1	2	6	3	5	4	148	53	53
t13	1	2	6	3	5	4	156	75	75
t23	1	2	6	4	3	5	171	53	53
t13	1	2	6	4	3	5	160	75	75
t23	1	2	6	4	5	3	165	53	53
t13	1	2	6	4	5	3	161	75	75
t23	1	2	6	5	3	4	303	53	53
t13	1	2	6	5	3	4	217	75	75
t23	1	2	6	5	4	3	302	53	53
t13	1	2	6	5	4	3	232	75	75
t23	1	3	2	4	5	6	1138	173	173
t13	1	3	2	4	5	6	136	28	28
t23	1	3	2	4	6	5	1163	173	173
t13	1	3	2	4	6	5	136	28	28
t23	1	3	2	5	4	6	5081	173	173
t13	1	3	2	5	4	6	136	28	28
t23	1	3	2	5	6	4	3032	173	173
t13	1	3	2	5	6	4	136	28	28
t23	1	3	2	6	4	5	0	173	173
t13	1	3	2	6	4	5	0	28	28
t23	1	3	2	6	5	4	0	173	173
t13	1	3	2	6	5	4	0	28	28
t23	1	3	4	2	5	6	494	173	173
t13	1	3	4	2	5	6	78	31	31
t23	1	3	4	2	6	5	595	173	173
t13	1	3	4	2	6	5	78	31	31
t23	1	3	4	5	2	6	0	173	173
t13	1	3	4	5	2	6	0	28	49
t23	1	3	4	5	6	2	0	173	173
t13	1	3	4	5	6	2	0	28	34
t23	1	3	4	6	2	5	0	173	173
t13	1	3	4	6	2	5	0	28	49
t23	1	3	4	6	5	2	0	173	173
t13	1	3	4	6	5	2	0	28	34
t23	1	3	5	2	4	6	373	173	173
t13	1	3	5	2	4	6	112	53	53
t23	1	3	5	2	6	4	453	173	173
t13	1	3	5	2	6	4	152	48	48
t23	1	3	5	4	2	6	485	173	173
t13	1	3	5	4	2	6	138	53	53
t23	1	3	5	4	6	2	1017	173	173
t13	1	3	5	4	6	2	360	48	48
t23	1	3	5	6	2	4	0	173	173
t13	1	3	5	6	2	4	0	28	55
t23	1	3	5	6	4	2	0	173	173
t13	1	3	5	6	4	2	0	28	55
t23	1	3	6	2	4	5	118	53	53
t13	1	3	6	2	4	5	155	75	75
t23	1	3	6	2	5	4	119	53	53
t13	1	3	6	2	5	4	167	75	75
t23	1	3	6	4	2	5	165	53	53
t13	1	3	6	4	2	5	198	75	75
t23	1	3	6	4	5	2	149	53	53
t13	1	3	6	4	5	2	201	75	75
t23	1	3	6	5	2	4	285	53	53
t13	1	3	6	5	2	4	275	75	75
t23	1	3	6	5	4	2	284	53	53
t13	1	3	6	5	4	2	290	75	75
t23	1	4	2	3	5	6	1396	173	173
t13	1	4	2	3	5	6	224	31	31
t23	1	4	2	3	6	5	1459	173	173
t13	1	4	2	3	6	5	224	31	31
t23	1	4	2	5	3	6	0	173	173
t13	1	4	2	5	3	6	0	28	49
t23	1	4	2	5	6	3	0	173	173
t13	1	4	2	5	6	3	0	28	34
t23	1	4	2	6	3	5	0	173	173
t13	1	4	2	6	3	5	0	28	49
t23	1	4	2	6	5	3	0	173	173
t13	1	4	2	6	5	3	0	28	34
t23	1	4	3	2	5	6	1019	173	173
t13	1	4	3	2	5	6	227	31	31
t23	1	4	3	2	6	5	1121	173	173
t13	1	4	3	2	6	5	227	31	31
t23	1	4	3	5	2	6	0	173	173
t13	1	4	3	5	2	6	0	28	49
t23	1	4	3	5	6	2	0	173	173
t13	1	4	3	5	6	2	0	28	34
t23	1	4	3	6	2	5	0	173	173
t13	1	4	3	6	2	5	0	28	49
t23	1	4	3	6	5	2	0	173	173
t13	1	4	3	6	5	2	0	28	34
t23	1	4	5	2	3	6	396	173	173
t13	1	4	5	2	3	6	150	53	53
t23	1	4	5	2	6	3	558	173	173
t13	1	4	5	2	6	3	254	48	48
t23	1	4	5	3	2	6	449	173	173
t13	1	4	5	3	2	6	150	53	53
t23	1	4	5	3	6	2	942	173	173
t13	1	4	5	3	6	2	362	48	48
