Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	diff
t11	1	2	3	4	5	6	10	10	0
t12	1	2	3	4	5	6	12	12	0
t13	1	2	3	4	5	6	34	34	0
t21	1	2	3	4	5	6	73	73	0
t22	1	2	3	4	5	6	146	146	0
t23	1	2	3	4	5	6	466	466	0
t11	1	2	3	4	6	5	10	10	0
t12	1	2	3	4	6	5	12	12	0
t13	1	2	3	4	6	5	34	34	0
t21	1	2	3	4	6	5	73	73	0
t22	1	2	3	4	6	5	424	424	0
t23	1	2	3	4	6	5	216	216	0
t11	1	2	3	5	4	6	10	10	0
t12	1	2	3	5	4	6	12	12	0
t13	1	2	3	5	4	6	34	34	0
t21	1	2	3	5	4	6	695	695	0
t22	1	2	3	5	4	6	407	407	0
t23	1	2	3	5	4	6	1462	1462	0
t11	1	2	3	5	6	4	10	10	0
t12	1	2	3	5	6	4	12	12	0
t13	1	2	3	5	6	4	34	34	0
t21	1	2	3	5	6	4	473	94	379
t22	1	2	3	5	6	4	1007	445	562
t23	1	2	3	5	6	4	310	159	151
t11	1	2	3	6	4	5	0	0	0
t12	1	2	3	6	4	5	0	0	0
t13	1	2	3	6	4	5	0	0	0
t21	1	2	3	6	4	5	0	0	0
t22	1	2	3	6	4	5	0	0	0
t23	1	2	3	6	4	5	0	0	0
t11	1	2	3	6	5	4	0	0	0
t12	1	2	3	6	5	4	0	0	0
t13	1	2	3	6	5	4	0	0	0
t21	1	2	3	6	5	4	0	0	0
t22	1	2	3	6	5	4	0	0	0
t23	1	2	3	6	5	4	0	0	0
t11	1	2	4	3	5	6	10	10	0
t12	1	2	4	3	5	6	12	12	0
t13	1	2	4	3	5	6	47	47	0
t21	1	2	4	3	5	6	29	29	0
t22	1	2	4	3	5	6	133	133	0
t23	1	2	4	3	5	6	390	390	0
t11	1	2	4	3	6	5	10	10	0
t12	1	2	4	3	6	5	12	12	0
t13	1	2	4	3	6	5	47	47	0
t21	1	2	4	3	6	5	29	29	0
t22	1	2	4	3	6	5	343	343	0
t23	1	2	4	3	6	5	190	190	0
t11	1	2	4	5	3	6	10	10	0
t12	1	2	4	5	3	6	12	12	0
t13	1	2	4	5	3	6	264	55	209
t21	1	2	4	5	3	6	695	695	0
t22	1	2	4	5	3	6	187	187	0
t23	1	2	4	5	3	6	1445	1445	0
t11	1	2	4	5	6	3	10	10	0
t12	1	2	4	5	6	3	12	12	0
t13	1	2	4	5	6	3	210	49	161
t21	1	2	4	5	6	3	473	94	379
t22	1	2	4	5	6	3	1007	445	562
t23	1	2	4	5	6	3	126	59	67
t11	1	2	4	6	3	5	0	0	0
t12	1	2	4	6	3	5	0	0	0
t13	1	2	4	6	3	5	0	0	0
t21	1	2	4	6	3	5	0	0	0
t22	1	2	4	6	3	5	0	0	0
t23	1	2	4	6	3	5	0	0	0
t11	1	2	4	6	5	3	0	0	0
t12	1	2	4	6	5	3	0	0	0
t13	1	2	4	6	5	3	0	0	0
t21	1	2	4	6	5	3	0	0	0
t22	1	2	4	6	5	3	0	0	0
t23	1	2	4	6	5	3	0	0	0
t11	1	2	5	3	4	6	10	10	0
t12	1	2	5	3	4	6	12	12	0
t13	1	2	5	3	4	6	79	79	0
t21	1	2	5	3	4	6	29	29	0
t22	1	2	5	3	4	6	50	50	0
t23	1	2	5	3	4	6	326	326	0
t11	1	2	5	3	6	4	10	10	0
t12	1	2	5	3	6	4	12	12	0
t13	1	2	5	3	6	4	113	54	59
t21	1	2	5	3	6	4	29	29	0
t22	1	2	5	3	6	4	343	343	0
t23	1	2	5	3	6	4	61	61	0
t11	1	2	5	4	3	6	10	10	0
t12	1	2	5	4	3	6	12	12	0
t13	1	2	5	4	3	6	89	89	0
t21	1	2	5	4	3	6	50	50	0
t22	1	2	5	4	3	6	35	35	0
t23	1	2	5	4	3	6	373	373	0
t11	1	2	5	4	6	3	10	10	0
t12	1	2	5	4	6	3	12	12	0
t13	1	2	5	4	6	3	128	54	74
t21	1	2	5	4	6	3	95	34	61
t22	1	2	5	4	6	3	446	348	98
t23	1	2	5	4	6	3	59	58	1
t11	1	2	5	6	3	4	0	0	0
t12	1	2	5	6	3	4	0	0	0
t13	1	2	5	6	3	4	0	0	0
t21	1	2	5	6	3	4	0	0	0
t22	1	2	5	6	3	4	0	0	0
t23	1	2	5	6	3	4	0	0	0
t11	1	2	5	6	4	3	0	0	0
t12	1	2	5	6	4	3	0	0	0
t13	1	2	5	6	4	3	0	0	0
t21	1	2	5	6	4	3	0	0	0
t22	1	2	5	6	4	3	0	0	0
t23	1	2	5	6	4	3	0	0	0
t11	1	2	6	3	4	5	10	10	0
t12	1	2	6	3	4	5	12	12	0
t13	1	2	6	3	4	5	133	133	0
t21	1	2	6	3	4	5	29	29	0
t22	1	2	6	3	4	5	50	50	0
t23	1	2	6	3	4	5	55	55	0
t11	1	2	6	3	5	4	10	10	0
t12	1	2	6	3	5	4	12	12	0
t13	1	2	6	3	5	4	134	134	0
t21	1	2	6	3	5	4	29	29	0
t22	1	2	6	3	5	4	72	72	0
t23	1	2	6	3	5	4	47	47	0
t11	1	2	6	4	3	5	10	10	0
t12	1	2	6	4	3	5	12	12	0
t13	1	2	6	4	3	5	138	138	0
t21	1	2	6	4	3	5	50	50	0
t22	1	2	6	4	3	5	35	35	0
t23	1	2	6	4	3	5	86	86	0
t11	1	2	6	4	5	3	10	10	0
t12	1	2	6	4	5	3	12	12	0
t13	1	2	6	4	5	3	139	134	5
t21	1	2	6	4	5	3	51	34	17
t22	1	2	6	4	5	3	72	72	0
t23	1	2	6	4	5	3	42	42	0
t11	1	2	6	5	3	4	10	10	0
t12	1	2	6	5	3	4	12	12	0
t13	1	2	6	5	3	4	195	195	0
t21	1	2	6	5	3	4	131	131	0
t22	1	2	6	5	3	4	65	65	0
t23	1	2	6	5	3	4	107	65	42
t11	1	2	6	5	4	3	10	10	0
t12	1	2	6	5	4	3	12	12	0
t13	1	2	6	5	4	3	210	210	0
t21	1	2	6	5	4	3	146	146	0
t22	1	2	6	5	4	3	111	72	39
t23	1	2	6	5	4	3	45	45	0
t11	1	3	2	4	5	6	10	10	0
t12	1	3	2	4	5	6	84	84	0
t13	1	3	2	4	5	6	42	42	0
t21	1	3	2	4	5	6	133	133	0
t22	1	3	2	4	5	6	252	252	0
t23	1	3	2	4	5	6	753	753	0
t11	1	3	2	4	6	5	10	10	0
t12	1	3	2	4	6	5	84	84	0
t13	1	3	2	4	6	5	42	42	0
t21	1	3	2	4	6	5	133	133	0
t22	1	3	2	4	6	5	684	684	0
t23	1	3	2	4	6	5	346	346	0
t11	1	3	2	5	4	6	10	10	0
t12	1	3	2	5	4	6	84	84	0
t13	1	3	2	5	4	6	42	42	0
t21	1	3	2	5	4	6	1393	1393	0
t22	1	3	2	5	4	6	779	779	0
t23	1	3	2	5	4	6	2909	2909	0
t11	1	3	2	5	6	4	10	10	0
t12	1	3	2	5	6	4	84	84	0
t13	1	3	2	5	6	4	42	42	0
t21	1	3	2	5	6	4	812	154	658
t22	1	3	2	5	6	4	1682	705	977
t23	1	3	2	5	6	4	538	286	252
t11	1	3	2	6	4	5	0	0	0
t12	1	3	2	6	4	5	0	0	0
t13	1	3	2	6	4	5	0	0	0
t21	1	3	2	6	4	5	0	0	0
t22	1	3	2	6	4	5	0	0	0
t23	1	3	2	6	4	5	0	0	0
t11	1	3	2	6	5	4	0	0	0
t12	1	3	2	6	5	4	0	0	0
t13	1	3	2	6	5	4	0	0	0
t21	1	3	2	6	5	4	0	0	0
t22	1	3	2	6	5	4	0	0	0
t23	1	3	2	6	5	4	0	0	0
t11	1	3	4	2	5	6	10	10	0
t12	1	3	4	2	5	6	21	21	0
t13	1	3	4	2	5	6	47	47	0
t21	1	3	4	2	5	6	13	13	0
t22	1	3	4	2	5	6	133	133	0
t23	1	3	4	2	5	6	348	348	0
t11	1	3	4	2	6	5	10	10	0
t12	1	3	4	2	6	5	21	21	0
t13	1	3	4	2	6	5	47	47	0
t21	1	3	4	2	6	5	13	13	0
t22	1	3	4	2	6	5	371	371	0
t23	1	3	4	2	6	5	211	211	0
t11	1	3	4	5	2	6	0	10	-10
t12	1	3	4	5	2	6	0	31	-31
t13	1	3	4	5	2	6	0	67	-67
t21	1	3	4	5	2	6	0	895	-895
t22	1	3	4	5	2	6	0	181	-181
t23	1	3	4	5	2	6	0	1837	-1837
