Chain	S_P	S_TC	S_O2OR	S_O1OR	S_OM	S_S	S_LA	STD	TC	SYNC	SYNCREF
LA::4	1	2	3	4	5	6	7	0	116	116	116
P::2	1	2	3	4	5	6	7	0	66	66	66
LA::4	1	2	3	4	5	7	6	0	116	116	116
P::2	1	2	3	4	5	7	6	0	66	66	66
LA::4	1	2	3	4	6	5	7	0	116	116	116
P::2	1	2	3	4	6	5	7	0	66	66	66
LA::4	1	2	3	4	6	7	5	0	116	116	116
P::2	1	2	3	4	6	7	5	0	66	66	66
LA::4	1	2	3	4	7	5	6	0	116	116	116
P::2	1	2	3	4	7	5	6	0	66	66	66
LA::4	1	2	3	4	7	6	5	0	116	116	116
P::2	1	2	3	4	7	6	5	0	66	66	66
LA::4	1	2	3	5	4	6	7	0	116	116	116
P::2	1	2	3	5	4	6	7	0	66	66	66
LA::4	1	2	3	5	4	7	6	0	116	116	116
P::2	1	2	3	5	4	7	6	0	66	66	66
LA::4	1	2	3	5	6	4	7	0	116	116	116
P::2	1	2	3	5	6	4	7	0	66	66	66
LA::4	1	2	3	5	6	7	4	0	116	116	116
P::2	1	2	3	5	6	7	4	0	66	66	66
LA::4	1	2	3	5	7	4	6	0	116	116	116
P::2	1	2	3	5	7	4	6	0	66	66	66
LA::4	1	2	3	5	7	6	4	0	116	116	116
P::2	1	2	3	5	7	6	4	0	66	66	66
LA::4	1	2	3	6	4	5	7	0	116	116	116
P::2	1	2	3	6	4	5	7	0	66	66	66
LA::4	1	2	3	6	4	7	5	0	116	116	116
P::2	1	2	3	6	4	7	5	0	66	66	66
LA::4	1	2	3	6	5	4	7	0	116	116	116
P::2	1	2	3	6	5	4	7	0	66	66	66
LA::4	1	2	3	6	5	7	4	0	116	116	116
P::2	1	2	3	6	5	7	4	0	66	66	66
LA::4	1	2	3	6	7	4	5	0	116	116	116
P::2	1	2	3	6	7	4	5	0	66	66	66
LA::4	1	2	3	6	7	5	4	0	116	116	116
P::2	1	2	3	6	7	5	4	0	66	66	66
LA::4	1	2	3	7	4	5	6	0	116	116	116
P::2	1	2	3	7	4	5	6	0	66	66	66
LA::4	1	2	3	7	4	6	5	0	116	116	116
P::2	1	2	3	7	4	6	5	0	66	66	66
LA::4	1	2	3	7	5	4	6	0	116	116	116
P::2	1	2	3	7	5	4	6	0	66	66	66
LA::4	1	2	3	7	5	6	4	0	116	116	116
P::2	1	2	3	7	5	6	4	0	66	66	66
LA::4	1	2	3	7	6	4	5	0	116	116	116
P::2	1	2	3	7	6	4	5	0	66	66	66
LA::4	1	2	3	7	6	5	4	0	116	116	116
