Chain	S_P	S_TC	S_O1OR	S_OM	S_S	S_LA	TC
LA::4	1	2	3	4	5	6	76
P::2	1	2	3	4	5	6	36
LA::4	1	2	3	4	6	5	76
P::2	1	2	3	4	6	5	36
LA::4	1	2	3	5	4	6	76
P::2	1	2	3	5	4	6	36
LA::4	1	2	3	5	6	4	76
P::2	1	2	3	5	6	4	36
LA::4	1	2	3	6	4	5	76
P::2	1	2	3	6	4	5	36
LA::4	1	2	3	6	5	4	76
P::2	1	2	3	6	5	4	36
LA::4	1	2	4	3	5	6	76
P::2	1	2	4	3	5	6	46
LA::4	1	2	4	3	6	5	76
P::2	1	2	4	3	6	5	46
LA::4	1	2	4	5	3	6	76
P::2	1	2	4	5	3	6	46
LA::4	1	2	4	5	6	3	76
P::2	1	2	4	5	6	3	56
LA::4	1	2	4	6	3	5	76
P::2	1	2	4	6	3	5	46
LA::4	1	2	4	6	5	3	76
P::2	1	2	4	6	5	3	56
LA::4	1	2	5	3	4	6	76
P::2	1	2	5	3	4	6	56
LA::4	1	2	5	3	6	4	76
P::2	1	2	5	3	6	4	66
LA::4	1	2	5	4	3	6	76
P::2	1	2	5	4	3	6	56
LA::4	1	2	5	4	6	3	76
P::2	1	2	5	4	6	3	66
LA::4	1	2	5	6	3	4	76
P::2	1	2	5	6	3	4	66
LA::4	1	2	5	6	4	3	76
P::2	1	2	5	6	4	3	66
LA::4	1	2	6	3	4	5	76
P::2	1	2	6	3	4	5	76
LA::4	1	2	6	3	5	4	76
P::2	1	2	6	3	5	4	76
LA::4	1	2	6	4	3	5	76
P::2	1	2	6	4	3	5	76
LA::4	1	2	6	4	5	3	76
P::2	1	2	6	4	5	3	76
LA::4	1	2	6	5	3	4	76
P::2	1	2	6	5	3	4	76
LA::4	1	2	6	5	4	3	76
P::2	1	2	6	5	4	3	76
LA::4	1	3	2	4	5	6	76
P::2	1	3	2	4	5	6	36
LA::4	1	3	2	4	6	5	76
P::2	1	3	2	4	6	5	36
LA::4	1	3	2	5	4	6	76
P::2	1	3	2	5	4	6	36
LA::4	1	3	2	5	6	4	76
P::2	1	3	2	5	6	4	36
LA::4	1	3	2	6	4	5	76
P::2	1	3	2	6	4	5	36
LA::4	1	3	2	6	5	4	76
P::2	1	3	2	6	5	4	36
LA::4	1	3	4	2	5	6	76
P::2	1	3	4	2	5	6	46
LA::4	1	3	4	2	6	5	76
P::2	1	3	4	2	6	5	46
LA::4	1	3	4	5	2	6	76
