Path	P1	P2	P3	P4	P5	P6	P7	lat	lat_sync	lat_syncref	lat_async
S1	1	2	3	4	5	6	7	0	70	70	70
S2	1	2	3	4	5	6	7	0	120	120	120
S1	1	2	3	4	5	7	6	0	70	70	70
S2	1	2	3	4	5	7	6	0	120	120	120
S1	1	2	3	4	6	5	7	0	70	70	70
S2	1	2	3	4	6	5	7	0	120	120	120
S1	1	2	3	4	6	7	5	0	70	70	70
S2	1	2	3	4	6	7	5	0	120	120	120
S1	1	2	3	4	7	5	6	0	70	70	70
S2	1	2	3	4	7	5	6	0	120	120	120
S1	1	2	3	4	7	6	5	0	70	70	70
S2	1	2	3	4	7	6	5	0	120	120	120
S1	1	2	3	5	4	6	7	0	70	70	70
S2	1	2	3	5	4	6	7	0	120	120	120
S1	1	2	3	5	4	7	6	0	70	70	70
S2	1	2	3	5	4	7	6	0	120	120	120
S1	1	2	3	5	6	4	7	0	70	70	70
S2	1	2	3	5	6	4	7	0	120	120	120
S1	1	2	3	5	6	7	4	0	70	70	70
S2	1	2	3	5	6	7	4	0	120	120	120
S1	1	2	3	5	7	4	6	0	70	70	70
S2	1	2	3	5	7	4	6	0	120	120	120
S1	1	2	3	5	7	6	4	0	70	70	70
S2	1	2	3	5	7	6	4	0	120	120	120
S1	1	2	3	6	4	5	7	0	70	70	70
S2	1	2	3	6	4	5	7	0	120	120	120
S1	1	2	3	6	4	7	5	0	70	70	70
S2	1	2	3	6	4	7	5	0	120	120	120
S1	1	2	3	6	5	4	7	0	70	70	70
S2	1	2	3	6	5	4	7	0	120	120	120
S1	1	2	3	6	5	7	4	0	70	70	70
S2	1	2	3	6	5	7	4	0	120	120	120
S1	1	2	3	6	7	4	5	0	70	70	70
S2	1	2	3	6	7	4	5	0	120	120	120
S1	1	2	3	6	7	5	4	0	70	70	70
S2	1	2	3	6	7	5	4	0	120	120	120
S1	1	2	3	7	4	5	6	0	70	70	70
S2	1	2	3	7	4	5	6	0	120	120	120
S1	1	2	3	7	4	6	5	0	70	70	70
S2	1	2	3	7	4	6	5	0	120	120	120
S1	1	2	3	7	5	4	6	0	70	70	70
S2	1	2	3	7	5	4	6	0	120	120	120
S1	1	2	3	7	5	6	4	0	70	70	70
S2	1	2	3	7	5	6	4	0	120	120	120
S1	1	2	3	7	6	4	5	0	70	70	70
