Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	CPA
1	562	True	13	50	1	2	1	model-562.graphml	T25	73346
2	642	True	13	60	1	2	1	model-642.graphml	T12	148358
2	920	True	13	50	2	2	0	model-920.graphml	T12	196333
2	2389	True	13	50	1	4	2	model-2389.graphml	T30	10372
1	5185	True	9	50	0	2	1	model-5185.graphml	T8	140077
2	5533	True	9	50	1	2	0	model-5533.graphml	T14	57742
2	5534	True	9	50	1	2	0	model-5534.graphml	T8	10971
2	5539	True	9	50	1	2	0	model-5539.graphml	T14	57742
2	5540	True	9	50	1	2	0	model-5540.graphml	T14	13842
1	5744	True	9	50	1	2	2	model-5744.graphml	T17	31548
2	5823	True	9	60	1	2	2	model-5823.graphml	T8	132363
2	5952	True	9	50	2	2	0	model-5952.graphml	T11	154732
2	5957	True	9	50	2	2	0	model-5957.graphml	T8	189514
2	5958	True	9	50	2	2	0	model-5958.graphml	T8	154732
2	5960	True	9	50	2	2	0	model-5960.graphml	T8	110718
2	6234	True	9	50	2	2	2	model-6234.graphml	T12	126046
2	6255	True	9	70	2	2	2	model-6255.graphml	T8	143464
2	6257	True	9	70	2	2	2	model-6257.graphml	T12	105528
1	6933	True	9	50	1	4	0	model-6933.graphml	T8	135348
1	6936	True	9	50	1	4	0	model-6936.graphml	T26	47306
3	7080	True	9	50	1	4	0	model-7080.graphml	T19	49169
1	7148	True	9	50	1	4	1	model-7148.graphml	T26	62126
2	7213	True	9	50	1	4	1	model-7213.graphml	T11	56489
1	7354	True	9	50	1	4	2	model-7354.graphml	T17	4246
2	7423	True	9	50	1	4	2	model-7423.graphml	T9	263559
2	7637	True	9	50	2	4	0	model-7637.graphml	T22	25270
2	7639	True	9	50	2	4	0	model-7639.graphml	T13	76322
3	7701	True	9	50	2	4	0	model-7701.graphml	T20	16881
3	7703	True	9	50	2	4	0	model-7703.graphml	T35	99519
3	7710	True	9	50	2	4	0	model-7710.graphml	T20	53991
3	7718	True	9	60	2	4	0	model-7718.graphml	T35	55446
2	7846	True	9	50	2	4	1	model-7846.graphml	T14	38242
3	7915	True	9	50	2	4	1	model-7915.graphml	T23	18442
3	7920	True	9	50	2	4	1	model-7920.graphml	T27	15439
3	7921	True	9	60	2	4	1	model-7921.graphml	T23	25093
3	8130	True	9	50	2	4	2	model-8130.graphml	T8	8154
3	8140	True	9	60	2	4	2	model-8140.graphml	T8	27774
1	10081	True	5	50	0	2	0	model-10081.graphml	T9	11522
1	10082	True	5	50	0	2	0	model-10082.graphml	T9	52959
1	10084	True	5	50	0	2	0	model-10084.graphml	T9	78197
1	10085	True	5	50	0	2	0	model-10085.graphml	T4	33139
1	10087	True	5	50	0	2	0	model-10087.graphml	T4	86395
1	10089	True	5	50	0	2	0	model-10089.graphml	T9	63658
1	10090	True	5	50	0	2	0	model-10090.graphml	T9	30257
1	10091	True	5	60	0	2	0	model-10091.graphml	T9	36775
1	10092	True	5	60	0	2	0	model-10092.graphml	T4	19285
1	10093	True	5	60	0	2	0	model-10093.graphml	T9	22867
1	10095	True	5	60	0	2	0	model-10095.graphml	T9	44189
1	10098	True	5	60	0	2	0	model-10098.graphml	T4	155108
1	10103	True	5	70	0	2	0	model-10103.graphml	T9	61109
1	10106	True	5	70	0	2	0	model-10106.graphml	T4	27117
2	10152	True	5	50	0	2	0	model-10152.graphml	T4	47552
2	10153	True	5	50	0	2	0	model-10153.graphml	T4	314352
2	10154	True	5	50	0	2	0	model-10154.graphml	T8	27197
2	10157	True	5	50	0	2	0	model-10157.graphml	T4	35970
2	10158	True	5	50	0	2	0	model-10158.graphml	T8	97694
2	10159	True	5	50	0	2	0	model-10159.graphml	T8	81439
2	10162	True	5	60	0	2	0	model-10162.graphml	T4	96930
2	10165	True	5	60	0	2	0	model-10165.graphml	T8	69646
2	10166	True	5	60	0	2	0	model-10166.graphml	T8	133412
2	10167	True	5	60	0	2	0	model-10167.graphml	T8	134076
2	10175	True	5	70	0	2	0	model-10175.graphml	T8	167157
2	10187	True	5	80	0	2	0	model-10187.graphml	T4	487593
1	10221	True	5	50	0	2	1	model-10221.graphml	T9	13572
1	10222	True	5	50	0	2	1	model-10222.graphml	T9	58208
1	10223	True	5	50	0	2	1	model-10223.graphml	T9	16164
1	10224	True	5	50	0	2	1	model-10224.graphml	T4	18274
1	10225	True	5	50	0	2	1	model-10225.graphml	T4	202688
1	10226	True	5	50	0	2	1	model-10226.graphml	T4	6935
1	10227	True	5	50	0	2	1	model-10227.graphml	T9	29790
1	10228	True	5	50	0	2	1	model-10228.graphml	T4	52789
1	10229	True	5	50	0	2	1	model-10229.graphml	T9	44839
1	10230	True	5	50	0	2	1	model-10230.graphml	T9	36481
1	10233	True	5	60	0	2	1	model-10233.graphml	T9	68540
1	10236	True	5	60	0	2	1	model-10236.graphml	T4	38981
1	10237	True	5	60	0	2	1	model-10237.graphml	T4	59494
1	10240	True	5	60	0	2	1	model-10240.graphml	T9	83585
1	10245	True	5	70	0	2	1	model-10245.graphml	T4	11458
2	10291	True	5	50	0	2	1	model-10291.graphml	T4	135454
2	10292	True	5	50	0	2	1	model-10292.graphml	T6	75865
2	10293	True	5	50	0	2	1	model-10293.graphml	T4	82227
2	10294	True	5	50	0	2	1	model-10294.graphml	T6	157677
2	10295	True	5	50	0	2	1	model-10295.graphml	T6	43372
2	10297	True	5	50	0	2	1	model-10297.graphml	T6	85849
2	10298	True	5	50	0	2	1	model-10298.graphml	T4	433107
2	10300	True	5	50	0	2	1	model-10300.graphml	T4	53569
2	10301	True	5	60	0	2	1	model-10301.graphml	T6	132712
2	10306	True	5	60	0	2	1	model-10306.graphml	T6	20443
2	10325	True	5	80	0	2	1	model-10325.graphml	T6	28261
2	10330	True	5	80	0	2	1	model-10330.graphml	T4	266489
2	10338	True	5	90	0	2	1	model-10338.graphml	T4	91617
1	10361	True	5	50	0	2	2	model-10361.graphml	T9	158820
1	10362	True	5	50	0	2	2	model-10362.graphml	T9	193498
