Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	EMSOFT17	Time
1	1	True	13	50	0	2	0	model-1.graphml	SCHED	0.07740666399999996
1	2	True	13	50	0	2	0	model-2.graphml	SCHED	0.08239994199999989
1	3	True	13	50	0	2	0	model-3.graphml	SCHED	0.06369402999999996
1	4	True	13	50	0	2	0	model-4.graphml	SCHED	0.07257607700000002
1	5	True	13	50	0	2	0	model-5.graphml	SCHED	0.08216384300000001
1	6	True	13	50	0	2	0	model-6.graphml	SCHED	0.07220215100000005
1	7	True	13	50	0	2	0	model-7.graphml	SCHED	0.0808961279999999
1	8	True	13	50	0	2	0	model-8.graphml	SCHED	0.07945511699999996
1	9	True	13	50	0	2	0	model-9.graphml	SCHED	0.07634179299999988
1	10	True	13	50	0	2	0	model-10.graphml	SCHED	0.0777443750000002
1	11	True	13	60	0	2	0	model-11.graphml	SCHED	0.07443061099999992
1	12	True	13	60	0	2	0	model-12.graphml	SCHED	0.07201919999999995
1	13	True	13	60	0	2	0	model-13.graphml	SCHED	0.08348896100000003
1	14	True	13	60	0	2	0	model-14.graphml	SCHED	0.08142037800000002
1	15	True	13	60	0	2	0	model-15.graphml	SCHED	0.07829311299999997
1	16	True	13	60	0	2	0	model-16.graphml	SCHED	0.06897130500000004
1	17	True	13	60	0	2	0	model-17.graphml	SCHED	0.06408643499999989
1	18	True	13	60	0	2	0	model-18.graphml	SCHED	0.10189124999999999
1	19	True	13	60	0	2	0	model-19.graphml	SCHED	0.07377054499999991
1	20	True	13	60	0	2	0	model-20.graphml	SCHED	0.07662759999999968
1	21	True	13	70	0	2	0	model-21.graphml	SCHED	0.07453865999999998
1	22	True	13	70	0	2	0	model-22.graphml	SCHED	0.10753382600000005
1	23	True	13	70	0	2	0	model-23.graphml	SCHED	0.07658150399999997
1	24	True	13	70	0	2	0	model-24.graphml	SCHED	0.09897284399999995
1	25	True	13	70	0	2	0	model-25.graphml	SCHED	0.07190800899999994
1	26	True	13	70	0	2	0	model-26.graphml	SCHED	0.09430870899999988
1	27	True	13	70	0	2	0	model-27.graphml	SCHED	0.07937552400000003
1	28	True	13	70	0	2	0	model-28.graphml	SCHED	0.0588747439999997
1	29	True	13	70	0	2	0	model-29.graphml	SCHED	0.08276617699999989
1	30	True	13	70	0	2	0	model-30.graphml	SCHED	0.08218115400000015
1	31	True	13	80	0	2	0	model-31.graphml	SCHED	0.06659270500000014
