Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
1	1	True	13	50	0	2	0	model-1.graphml	T25	3430
1	2	True	13	50	0	2	0	model-2.graphml	T12	3430
1	3	True	13	50	0	2	0	model-3.graphml	T25	3430
1	4	True	13	50	0	2	0	model-4.graphml	T25	3430
1	5	True	13	50	0	2	0	model-5.graphml	T12	3430
1	6	True	13	50	0	2	0	model-6.graphml	T25	2730
1	7	True	13	50	0	2	0	model-7.graphml	T12	2569
1	8	True	13	50	0	2	0	model-8.graphml	T25	2448
1	9	True	13	50	0	2	0	model-9.graphml	T12	3307
1	10	True	13	50	0	2	0	model-10.graphml	T25	2730
1	11	True	13	60	0	2	0	model-11.graphml	T25	4116
1	12	True	13	60	0	2	0	model-12.graphml	T25	4116
1	13	True	13	60	0	2	0	model-13.graphml	T12	4116
1	14	True	13	60	0	2	0	model-14.graphml	T25	3948
1	15	True	13	60	0	2	0	model-15.graphml	T12	3524
1	16	True	13	60	0	2	0	model-16.graphml	T12	3968
1	17	True	13	60	0	2	0	model-17.graphml	T12	3968
1	18	True	13	60	0	2	0	model-18.graphml	T12	4116
1	19	True	13	60	0	2	0	model-19.graphml	T25	4116
1	20	True	13	60	0	2	0	model-20.graphml	T25	4116
1	21	True	13	70	0	2	0	model-21.graphml	T25	4803
1	22	True	13	70	0	2	0	model-22.graphml	T25	4411
1	23	True	13	70	0	2	0	model-23.graphml	T25	4803
1	24	True	13	70	0	2	0	model-24.graphml	T25	4607
1	25	True	13	70	0	2	0	model-25.graphml	T25	4803
1	26	True	13	70	0	2	0	model-26.graphml	T12	4803
1	27	True	13	70	0	2	0	model-27.graphml	T12	4457
1	28	True	13	70	0	2	0	model-28.graphml	T12	4457
1	29	True	13	70	0	2	0	model-29.graphml	T25	4803
1	30	True	13	70	0	2	0	model-30.graphml	T25	3235
1	31	True	13	80	0	2	0	model-31.graphml	T25	5489
1	32	True	13	80	0	2	0	model-32.graphml	T12	4898
1	33	True	13	80	0	2	0	model-33.graphml	T25	5489
1	34	True	13	80	0	2	0	model-34.graphml	T25	5489
1	35	True	13	80	0	2	0	model-35.graphml	T12	4898
1	36	True	13	80	0	2	0	model-36.graphml	T25	5489
1	37	True	13	80	0	2	0	model-37.graphml	T25	4365
1	38	True	13	80	0	2	0	model-38.graphml	T25	5265
1	39	True	13	80	0	2	0	model-39.graphml	T12	5489
1	40	True	13	80	0	2	0	model-40.graphml	T25	5489
1	41	True	13	90	0	2	0	model-41.graphml	T12	10838
1	42	True	13	90	0	2	0	model-42.graphml	T12	5509
1	43	True	13	90	0	2	0	model-43.graphml	T25	8246
1	44	True	13	90	0	2	0	model-44.graphml	T25	8588
1	45	True	13	90	0	2	0	model-45.graphml	T12	10010
1	46	True	13	90	0	2	0	model-46.graphml	T25	10796
1	47	True	13	90	0	2	0	model-47.graphml	T25	3398
1	48	True	13	90	0	2	0	model-48.graphml	T25	11841
1	49	True	13	90	0	2	0	model-49.graphml	T12	9069
1	50	True	13	90	0	2	0	model-50.graphml	T12	10334
1	51	True	13	95	0	2	0	model-51.graphml	T25	18866
1	52	True	13	95	0	2	0	model-52.graphml	T25	21921
1	53	True	13	95	0	2	0	model-53.graphml	T12	5578
1	54	True	13	95	0	2	0	model-54.graphml	T12	10061
1	55	True	13	95	0	2	0	model-55.graphml	T25	4656
1	56	True	13	95	0	2	0	model-56.graphml	T12	10376
1	57	True	13	95	0	2	0	model-57.graphml	T12	11706
1	58	True	13	95	0	2	0	model-58.graphml	T25	15011
1	59	True	13	95	0	2	0	model-59.graphml	T12	4873
1	60	True	13	95	0	2	0	model-60.graphml	T12	28329
1	61	True	13	98	0	2	0	model-61.graphml	T25	29045
1	62	True	13	98	0	2	0	model-62.graphml	T12	9998
1	63	True	13	98	0	2	0	model-63.graphml	T25	11959
1	64	True	13	98	0	2	0	model-64.graphml	T25	4533
1	65	True	13	98	0	2	0	model-65.graphml	T12	9742
