Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
1	1	True	13	50	0	2	0	model-1.graphml	SCHED	0.029414655999999928
1	2	True	13	50	0	2	0	model-2.graphml	SCHED	0.029396932000000042
1	3	True	13	50	0	2	0	model-3.graphml	SCHED	0.02942868300000001
1	4	True	13	50	0	2	0	model-4.graphml	SCHED	0.02947050200000001
1	5	True	13	50	0	2	0	model-5.graphml	SCHED	0.029571186000000083
1	6	True	13	50	0	2	0	model-6.graphml	SCHED	0.02984216399999995
1	7	True	13	50	0	2	0	model-7.graphml	SCHED	0.029659700999999927
1	8	True	13	50	0	2	0	model-8.graphml	SCHED	0.029401349999999993
1	9	True	13	50	0	2	0	model-9.graphml	SCHED	0.029631388999999952
1	10	True	13	50	0	2	0	model-10.graphml	SCHED	0.029554627
1	11	True	13	60	0	2	0	model-11.graphml	SCHED	0.029489968000000033
1	12	True	13	60	0	2	0	model-12.graphml	SCHED	0.029445861000000018
1	13	True	13	60	0	2	0	model-13.graphml	SCHED	0.029502974999999987
1	14	True	13	60	0	2	0	model-14.graphml	SCHED	0.029438147000000026
1	15	True	13	60	0	2	0	model-15.graphml	SCHED	0.029510562000000018
1	16	True	13	60	0	2	0	model-16.graphml	SCHED	0.029527775999999895
1	17	True	13	60	0	2	0	model-17.graphml	SCHED	0.02962091499999997
1	18	True	13	60	0	2	0	model-18.graphml	SCHED	0.02986063399999983
1	19	True	13	60	0	2	0	model-19.graphml	SCHED	0.029366314000000004
1	20	True	13	60	0	2	0	model-20.graphml	SCHED	0.02940660499999992
1	21	True	13	70	0	2	0	model-21.graphml	SCHED	0.029420496000000185
1	22	True	13	70	0	2	0	model-22.graphml	SCHED	0.029591802999999972
1	23	True	13	70	0	2	0	model-23.graphml	SCHED	0.029341700000000026
1	24	True	13	70	0	2	0	model-24.graphml	SCHED	0.029264409000000047
1	25	True	13	70	0	2	0	model-25.graphml	SCHED	0.029225964000000104
1	26	True	13	70	0	2	0	model-26.graphml	SCHED	0.029341638000000003
1	27	True	13	70	0	2	0	model-27.graphml	SCHED	0.02918793799999997
1	28	True	13	70	0	2	0	model-28.graphml	SCHED	0.029486759999999945
1	29	True	13	70	0	2	0	model-29.graphml	SCHED	0.029230395999999992
1	30	True	13	70	0	2	0	model-30.graphml	SCHED	0.029545047000000046
1	31	True	13	80	0	2	0	model-31.graphml	SCHED	0.029572778999999993
1	32	True	13	80	0	2	0	model-32.graphml	SCHED	0.029367343999999962
1	33	True	13	80	0	2	0	model-33.graphml	SCHED	0.029404852999999953
1	34	True	13	80	0	2	0	model-34.graphml	SCHED	0.029240238999999946
