Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	CPA
2	5118	False	9	50	0	2	0	model-5118.graphml	T15	78642
1	5185	False	9	50	0	2	1	model-5185.graphml	T17	13380
2	5398	False	9	50	0	2	2	model-5398.graphml	T15	94874
1	5602	False	9	50	1	2	1	model-5602.graphml	T8	14524
1	5608	False	9	50	1	2	1	model-5608.graphml	T17	78570
2	6111	False	9	70	2	2	1	model-6111.graphml	T11	53566
2	6235	False	9	50	2	2	2	model-6235.graphml	T11	21717
1	10081	False	5	50	0	2	0	model-10081.graphml	T4	23743
1	10082	False	5	50	0	2	0	model-10082.graphml	T4	68019
1	10083	False	5	50	0	2	0	model-10083.graphml	T4	23592
1	10084	False	5	50	0	2	0	model-10084.graphml	T9	8747
1	10085	False	5	50	0	2	0	model-10085.graphml	T4	5981
1	10086	False	5	50	0	2	0	model-10086.graphml	T9	19121
1	10087	False	5	50	0	2	0	model-10087.graphml	T4	78556
1	10089	False	5	50	0	2	0	model-10089.graphml	T4	7102
1	10090	False	5	50	0	2	0	model-10090.graphml	T4	63420
1	10092	False	5	60	0	2	0	model-10092.graphml	T9	39263
1	10093	False	5	60	0	2	0	model-10093.graphml	T4	44456
1	10094	False	5	60	0	2	0	model-10094.graphml	T9	16307
1	10095	False	5	60	0	2	0	model-10095.graphml	T4	16990
1	10096	False	5	60	0	2	0	model-10096.graphml	T4	91456
1	10098	False	5	60	0	2	0	model-10098.graphml	T9	21374
1	10099	False	5	60	0	2	0	model-10099.graphml	T4	7368
1	10104	False	5	70	0	2	0	model-10104.graphml	T9	28718
1	10110	False	5	70	0	2	0	model-10110.graphml	T9	50888
1	10128	False	5	90	0	2	0	model-10128.graphml	T4	25295
2	10151	False	5	50	0	2	0	model-10151.graphml	T4	324342
2	10154	False	5	50	0	2	0	model-10154.graphml	T4	105598
2	10155	False	5	50	0	2	0	model-10155.graphml	T4	12191
2	10157	False	5	50	0	2	0	model-10157.graphml	T5	20512
2	10159	False	5	50	0	2	0	model-10159.graphml	T5	24835
2	10160	False	5	50	0	2	0	model-10160.graphml	T4	26872
2	10163	False	5	60	0	2	0	model-10163.graphml	T4	119747
2	10164	False	5	60	0	2	0	model-10164.graphml	T5	83287
2	10166	False	5	60	0	2	0	model-10166.graphml	T4	39089
