Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	CPA	Time
1	1	False	13	50	0	2	0	model-1.graphml	UNSCHED	12.435908366
1	2	False	13	50	0	2	0	model-2.graphml	UNSCHED	57.387752535999994
1	3	False	13	50	0	2	0	model-3.graphml	UNSCHED	48.357887851
1	4	False	13	50	0	2	0	model-4.graphml	UNSCHED	59.161371802000005
1	5	False	13	50	0	2	0	model-5.graphml	UNSCHED	10.92155977500002
1	6	False	13	50	0	2	0	model-6.graphml	UNSCHED	11.342549108000014
1	7	False	13	50	0	2	0	model-7.graphml	UNSCHED	24.443556943000004
1	8	False	13	50	0	2	0	model-8.graphml	UNSCHED	38.98558572000002
1	9	False	13	50	0	2	0	model-9.graphml	UNSCHED	31.433909630000016
1	10	False	13	50	0	2	0	model-10.graphml	UNSCHED	20.66184602100003
1	11	False	13	60	0	2	0	model-11.graphml	UNSCHED	9.871309994
1	12	False	13	60	0	2	0	model-12.graphml	UNSCHED	4.933223687999998
1	13	False	13	60	0	2	0	model-13.graphml	UNSCHED	7.435624111000038
1	14	False	13	60	0	2	0	model-14.graphml	UNSCHED	7.944634350000001
1	15	False	13	60	0	2	0	model-15.graphml	TIMEOUT	60.02178343100002
1	16	False	13	60	0	2	0	model-16.graphml	UNSCHED	8.400016347000019
1	17	False	13	60	0	2	0	model-17.graphml	UNSCHED	11.502582232999998
1	18	False	13	60	0	2	0	model-18.graphml	UNSCHED	7.946271899999999
1	19	False	13	60	0	2	0	model-19.graphml	UNSCHED	6.3773177369999985
1	20	False	13	60	0	2	0	model-20.graphml	UNSCHED	17.096313225000017
1	21	False	13	70	0	2	0	model-21.graphml	UNSCHED	7.958679882000013
1	22	False	13	70	0	2	0	model-22.graphml	UNSCHED	8.449129776000007
1	23	False	13	70	0	2	0	model-23.graphml	UNSCHED	17.314917820999995
1	24	False	13	70	0	2	0	model-24.graphml	UNSCHED	5.415415532999987
1	25	False	13	70	0	2	0	model-25.graphml	UNSCHED	2.559147757000005
1	26	False	13	70	0	2	0	model-26.graphml	UNSCHED	8.567233375
1	27	False	13	70	0	2	0	model-27.graphml	UNSCHED	10.193234829000062
1	28	False	13	70	0	2	0	model-28.graphml	UNSCHED	3.1305965770000057
1	29	False	13	70	0	2	0	model-29.graphml	UNSCHED	6.122458932999962
1	30	False	13	70	0	2	0	model-30.graphml	UNSCHED	7.110380481999982
1	31	False	13	80	0	2	0	model-31.graphml	UNSCHED	0.8071482320000314
1	32	False	13	80	0	2	0	model-32.graphml	UNSCHED	4.483692296999948
1	33	False	13	80	0	2	0	model-33.graphml	UNSCHED	0.6178696229999332
1	34	False	13	80	0	2	0	model-34.graphml	UNSCHED	2.172799464000036
1	35	False	13	80	0	2	0	model-35.graphml	UNSCHED	3.5330446940000684
1	36	False	13	80	0	2	0	model-36.graphml	UNSCHED	4.9345734779999475
1	37	False	13	80	0	2	0	model-37.graphml	UNSCHED	2.5124253669999916
1	38	False	13	80	0	2	0	model-38.graphml	UNSCHED	1.492865394999967
1	39	False	13	80	0	2	0	model-39.graphml	UNSCHED	2.243090516000052
1	40	False	13	80	0	2	0	model-40.graphml	UNSCHED	0.4914324769999894
1	41	False	13	90	0	2	0	model-41.graphml	UNSCHED	0.5431361049999168
1	42	False	13	90	0	2	0	model-42.graphml	UNSCHED	0.36447335699995165
1	43	False	13	90	0	2	0	model-43.graphml	UNSCHED	0.9410760239999263
1	44	False	13	90	0	2	0	model-44.graphml	UNSCHED	1.590697213999988
1	45	False	13	90	0	2	0	model-45.graphml	UNSCHED	0.9013467739999896
1	46	False	13	90	0	2	0	model-46.graphml	UNSCHED	1.3390731330000563
1	47	False	13	90	0	2	0	model-47.graphml	UNSCHED	1.4655151179999848
1	48	False	13	90	0	2	0	model-48.graphml	UNSCHED	0.5261382470000626
1	49	False	13	90	0	2	0	model-49.graphml	UNSCHED	0.648107153000069
1	50	False	13	90	0	2	0	model-50.graphml	UNSCHED	0.6065466640000068
1	51	False	13	95	0	2	0	model-51.graphml	UNSCHED	0.8826806000000715
1	52	False	13	95	0	2	0	model-52.graphml	UNSCHED	0.2621484290000353
1	53	False	13	95	0	2	0	model-53.graphml	UNSCHED	1.9739919190000137
1	54	False	13	95	0	2	0	model-54.graphml	UNSCHED	0.6327066110000032
1	55	False	13	95	0	2	0	model-55.graphml	UNSCHED	0.6764045579999447
1	56	False	13	95	0	2	0	model-56.graphml	UNSCHED	6.73240837000003
1	57	False	13	95	0	2	0	model-57.graphml	UNSCHED	0.336960844000032
1	58	False	13	95	0	2	0	model-58.graphml	UNSCHED	1.3847313049999457
1	59	False	13	95	0	2	0	model-59.graphml	UNSCHED	1.1931609709999975
1	60	False	13	95	0	2	0	model-60.graphml	UNSCHED	1.7395067829999107
1	61	False	13	98	0	2	0	model-61.graphml	UNSCHED	0.583603743000026
1	62	False	13	98	0	2	0	model-62.graphml	UNSCHED	0.35493279900003927
1	63	False	13	98	0	2	0	model-63.graphml	UNSCHED	0.5171669579999616
1	64	False	13	98	0	2	0	model-64.graphml	UNSCHED	0.29541535399994245
1	65	False	13	98	0	2	0	model-65.graphml	UNSCHED	1.3813789539999561
1	66	False	13	98	0	2	0	model-66.graphml	UNSCHED	0.28040495300001567
1	67	False	13	98	0	2	0	model-67.graphml	UNSCHED	0.3247090649999791
1	68	False	13	98	0	2	0	model-68.graphml	UNSCHED	0.8410482919999822
1	69	False	13	98	0	2	0	model-69.graphml	UNSCHED	2.6976896999999553
1	70	False	13	98	0	2	0	model-70.graphml	UNSCHED	0.9379878839999947
2	71	False	13	50	0	2	0	model-71.graphml	UNSCHED	7.452036386000032
2	72	False	13	50	0	2	0	model-72.graphml	UNSCHED	20.757102794999923
2	73	False	13	50	0	2	0	model-73.graphml	UNSCHED	9.232846872999971
2	74	False	13	50	0	2	0	model-74.graphml	UNSCHED	7.299234290999948
2	75	False	13	50	0	2	0	model-75.graphml	UNSCHED	0.893041376000042
2	76	False	13	50	0	2	0	model-76.graphml	UNSCHED	4.465180314000008
2	77	False	13	50	0	2	0	model-77.graphml	UNSCHED	22.787952403000077
2	78	False	13	50	0	2	0	model-78.graphml	UNSCHED	1.3262003920000325
2	79	False	13	50	0	2	0	model-79.graphml	UNSCHED	15.218291923000038
2	80	False	13	50	0	2	0	model-80.graphml	UNSCHED	1.1125291920000109
2	81	False	13	60	0	2	0	model-81.graphml	UNSCHED	4.106543908000049
2	82	False	13	60	0	2	0	model-82.graphml	UNSCHED	13.732887290999997
2	83	False	13	60	0	2	0	model-83.graphml	UNSCHED	2.124303149999946
2	84	False	13	60	0	2	0	model-84.graphml	UNSCHED	0.77775007799994
2	85	False	13	60	0	2	0	model-85.graphml	UNSCHED	5.920332289000044
2	86	False	13	60	0	2	0	model-86.graphml	UNSCHED	3.529560423000021
2	87	False	13	60	0	2	0	model-87.graphml	UNSCHED	1.2558315579999544
2	88	False	13	60	0	2	0	model-88.graphml	UNSCHED	6.28059215199994
2	89	False	13	60	0	2	0	model-89.graphml	UNSCHED	0.6321203759999889
2	90	False	13	60	0	2	0	model-90.graphml	UNSCHED	5.608279376000041
2	91	False	13	70	0	2	0	model-91.graphml	UNSCHED	0.4109738820000075
2	92	False	13	70	0	2	0	model-92.graphml	UNSCHED	0.7617852089999815
2	93	False	13	70	0	2	0	model-93.graphml	UNSCHED	1.7304061270000375
2	94	False	13	70	0	2	0	model-94.graphml	UNSCHED	0.5051226790000101
2	95	False	13	70	0	2	0	model-95.graphml	UNSCHED	0.873316133000003
2	96	False	13	70	0	2	0	model-96.graphml	UNSCHED	0.29098263900004895
2	97	False	13	70	0	2	0	model-97.graphml	UNSCHED	0.4804530159999558
2	98	False	13	70	0	2	0	model-98.graphml	UNSCHED	4.083620900000028
2	99	False	13	70	0	2	0	model-99.graphml	UNSCHED	0.8945317169999498
2	100	False	13	70	0	2	0	model-100.graphml	UNSCHED	4.475405756999976
2	101	False	13	80	0	2	0	model-101.graphml	UNSCHED	7.361963144000015
2	102	False	13	80	0	2	0	model-102.graphml	UNSCHED	0.44427886100004343
2	103	False	13	80	0	2	0	model-103.graphml	UNSCHED	0.20829012900003363
2	104	False	13	80	0	2	0	model-104.graphml	UNSCHED	0.4941112180000573
2	105	False	13	80	0	2	0	model-105.graphml	UNSCHED	7.383868310999901
2	106	False	13	80	0	2	0	model-106.graphml	UNSCHED	0.5208510679999563
2	107	False	13	80	0	2	0	model-107.graphml	UNSCHED	0.4032439520000253
2	108	False	13	80	0	2	0	model-108.graphml	UNSCHED	0.20694980099995064
2	109	False	13	80	0	2	0	model-109.graphml	UNSCHED	1.7545590340000672
2	110	False	13	80	0	2	0	model-110.graphml	UNSCHED	3.614381862000073
2	111	False	13	90	0	2	0	model-111.graphml	UNSCHED	0.23141196799997488
2	112	False	13	90	0	2	0	model-112.graphml	UNSCHED	1.2163795120000032
2	113	False	13	90	0	2	0	model-113.graphml	UNSCHED	0.16682082699992407
2	114	False	13	90	0	2	0	model-114.graphml	UNSCHED	0.6983201410000675
2	115	False	13	90	0	2	0	model-115.graphml	UNSCHED	0.3917089589999705
2	116	False	13	90	0	2	0	model-116.graphml	UNSCHED	0.3068453700000191
2	117	False	13	90	0	2	0	model-117.graphml	UNSCHED	0.7317979889999151
2	118	False	13	90	0	2	0	model-118.graphml	UNSCHED	0.1718901960000494
2	119	False	13	90	0	2	0	model-119.graphml	UNSCHED	0.3033340209999551
2	120	False	13	90	0	2	0	model-120.graphml	UNSCHED	0.3089078379999819
2	121	False	13	95	0	2	0	model-121.graphml	UNSCHED	0.2286009770000419
2	122	False	13	95	0	2	0	model-122.graphml	UNSCHED	1.33996678099993
2	123	False	13	95	0	2	0	model-123.graphml	UNSCHED	0.5255285040000217
2	124	False	13	95	0	2	0	model-124.graphml	UNSCHED	0.3345858229999976
2	125	False	13	95	0	2	0	model-125.graphml	UNSCHED	0.20733666200010248
2	126	False	13	95	0	2	0	model-126.graphml	UNSCHED	0.6191992210000308
2	127	False	13	95	0	2	0	model-127.graphml	UNSCHED	0.38793653400000494
2	128	False	13	95	0	2	0	model-128.graphml	UNSCHED	1.026554711000017
2	129	False	13	95	0	2	0	model-129.graphml	UNSCHED	0.20789045299989084
2	130	False	13	95	0	2	0	model-130.graphml	UNSCHED	0.38944490599999426
2	131	False	13	98	0	2	0	model-131.graphml	UNSCHED	1.0069970100000774
2	132	False	13	98	0	2	0	model-132.graphml	UNSCHED	0.3314338540000108
2	133	False	13	98	0	2	0	model-133.graphml	UNSCHED	0.25732961800008525
2	134	False	13	98	0	2	0	model-134.graphml	UNSCHED	2.0078777799999443
2	135	False	13	98	0	2	0	model-135.graphml	UNSCHED	0.25114151399998264
2	136	False	13	98	0	2	0	model-136.graphml	UNSCHED	0.2605281840000089
2	137	False	13	98	0	2	0	model-137.graphml	UNSCHED	0.19078731500007962
2	138	False	13	98	0	2	0	model-138.graphml	UNSCHED	3.294657796000024
2	139	False	13	98	0	2	0	model-139.graphml	UNSCHED	0.22064890599995124
