Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	EMSOFT17	Time
1	1	False	13	50	0	2	0	model-1.graphml	SCHED	0.07380035100000004
1	2	False	13	50	0	2	0	model-2.graphml	SCHED	0.066396012
1	3	False	13	50	0	2	0	model-3.graphml	SCHED	0.05432490400000001
1	4	False	13	50	0	2	0	model-4.graphml	SCHED	0.06208381299999999
1	5	False	13	50	0	2	0	model-5.graphml	SCHED	0.101142136
1	6	False	13	50	0	2	0	model-6.graphml	SCHED	0.09724610300000003
1	7	False	13	50	0	2	0	model-7.graphml	SCHED	0.07370869600000007
1	8	False	13	50	0	2	0	model-8.graphml	SCHED	0.07606342199999983
1	9	False	13	50	0	2	0	model-9.graphml	SCHED	0.06719998999999999
1	10	False	13	50	0	2	0	model-10.graphml	SCHED	0.08384901699999991
1	11	False	13	60	0	2	0	model-11.graphml	SCHED	0.0826861000000001
1	12	False	13	60	0	2	0	model-12.graphml	SCHED	0.10520944300000012
1	13	False	13	60	0	2	0	model-13.graphml	SCHED	0.13452537199999992
1	14	False	13	60	0	2	0	model-14.graphml	SCHED	0.11093017099999991
1	15	False	13	60	0	2	0	model-15.graphml	SCHED	0.06598948699999996
1	16	False	13	60	0	2	0	model-16.graphml	SCHED	0.09616292599999987
1	17	False	13	60	0	2	0	model-17.graphml	SCHED	0.07581825900000005
1	18	False	13	60	0	2	0	model-18.graphml	SCHED	0.08447043600000015
1	19	False	13	60	0	2	0	model-19.graphml	SCHED	0.13229984100000003
1	20	False	13	60	0	2	0	model-20.graphml	SCHED	0.06834088700000018
1	21	False	13	70	0	2	0	model-21.graphml	SCHED	0.10731403200000011
1	22	False	13	70	0	2	0	model-22.graphml	SCHED	0.12032797499999992
1	23	False	13	70	0	2	0	model-23.graphml	SCHED	0.08357296400000003
1	24	False	13	70	0	2	0	model-24.graphml	SCHED	0.10523788199999995
1	25	False	13	70	0	2	0	model-25.graphml	SCHED	0.1128373530000002
1	26	False	13	70	0	2	0	model-26.graphml	SCHED	0.08307073799999998
1	27	False	13	70	0	2	0	model-27.graphml	SCHED	0.11028778799999994
1	28	False	13	70	0	2	0	model-28.graphml	SCHED	0.10750210700000018
1	29	False	13	70	0	2	0	model-29.graphml	SCHED	0.15242285199999994
1	30	False	13	70	0	2	0	model-30.graphml	SCHED	0.14586350599999998
1	31	False	13	80	0	2	0	model-31.graphml	SCHED	0.12539160100000002
1	32	False	13	80	0	2	0	model-32.graphml	SCHED	0.09378075500000005
1	33	False	13	80	0	2	0	model-33.graphml	SCHED	0.12636835200000007
1	34	False	13	80	0	2	0	model-34.graphml	SCHED	0.08500493400000009
1	35	False	13	80	0	2	0	model-35.graphml	SCHED	0.15820356099999966
1	36	False	13	80	0	2	0	model-36.graphml	SCHED	0.11562785499999961
1	37	False	13	80	0	2	0	model-37.graphml	SCHED	0.13356608700000017
1	38	False	13	80	0	2	0	model-38.graphml	SCHED	0.1579433899999998
1	39	False	13	80	0	2	0	model-39.graphml	SCHED	0.07137354299999998
1	40	False	13	80	0	2	0	model-40.graphml	SCHED	0.2288066999999998
1	41	False	13	90	0	2	0	model-41.graphml	SCHED	0.12635053700000043
1	42	False	13	90	0	2	0	model-42.graphml	SCHED	0.09459434499999997
1	43	False	13	90	0	2	0	model-43.graphml	SCHED	0.10938930000000013
1	44	False	13	90	0	2	0	model-44.graphml	SCHED	0.07522230000000008
1	45	False	13	90	0	2	0	model-45.graphml	SCHED	0.08312171599999996
1	46	False	13	90	0	2	0	model-46.graphml	SCHED	0.08234069899999952
1	47	False	13	90	0	2	0	model-47.graphml	SCHED	0.13660286
1	48	False	13	90	0	2	0	model-48.graphml	SCHED	0.09204015999999982
1	49	False	13	90	0	2	0	model-49.graphml	SCHED	0.08636887099999946
1	50	False	13	90	0	2	0	model-50.graphml	SCHED	0.10864538200000062
1	51	False	13	95	0	2	0	model-51.graphml	SCHED	0.19350459799999964
1	52	False	13	95	0	2	0	model-52.graphml	SCHED	0.1606561639999997
1	53	False	13	95	0	2	0	model-53.graphml	SCHED	0.14498121799999986
1	54	False	13	95	0	2	0	model-54.graphml	SCHED	0.140982889
1	55	False	13	95	0	2	0	model-55.graphml	SCHED	0.24880316600000008
1	56	False	13	95	0	2	0	model-56.graphml	SCHED	0.12853626400000007
1	57	False	13	95	0	2	0	model-57.graphml	SCHED	0.13370477199999975
1	58	False	13	95	0	2	0	model-58.graphml	SCHED	0.1056929120000003
1	59	False	13	95	0	2	0	model-59.graphml	SCHED	0.1905552969999995
1	60	False	13	95	0	2	0	model-60.graphml	SCHED	0.15554437499999985
1	61	False	13	98	0	2	0	model-61.graphml	SCHED	0.2528199640000004
1	62	False	13	98	0	2	0	model-62.graphml	SCHED	0.2720554299999991
1	63	False	13	98	0	2	0	model-63.graphml	SCHED	0.3873807780000007
1	64	False	13	98	0	2	0	model-64.graphml	SCHED	0.3291636770000004
1	65	False	13	98	0	2	0	model-65.graphml	SCHED	0.1721585430000001
1	66	False	13	98	0	2	0	model-66.graphml	SCHED	0.296651970000001
1	67	False	13	98	0	2	0	model-67.graphml	SCHED	0.34661505799999937
1	68	False	13	98	0	2	0	model-68.graphml	SCHED	0.29587399799999936
1	69	False	13	98	0	2	0	model-69.graphml	SCHED	0.19351771500000048
1	70	False	13	98	0	2	0	model-70.graphml	SCHED	0.3085334469999985
2	71	False	13	50	0	2	0	model-71.graphml	SCHED	0.0840375850000008
2	72	False	13	50	0	2	0	model-72.graphml	SCHED	0.06400055900000012
2	73	False	13	50	0	2	0	model-73.graphml	SCHED	0.09950021000000042
2	74	False	13	50	0	2	0	model-74.graphml	SCHED	0.08238245399999933
2	75	False	13	50	0	2	0	model-75.graphml	SCHED	0.12194606099999916
2	76	False	13	50	0	2	0	model-76.graphml	SCHED	0.08845033600000107
2	77	False	13	50	0	2	0	model-77.graphml	SCHED	0.0643672930000001
2	78	False	13	50	0	2	0	model-78.graphml	SCHED	0.09928508800000024
2	79	False	13	50	0	2	0	model-79.graphml	SCHED	0.06438471600000106
2	80	False	13	50	0	2	0	model-80.graphml	SCHED	0.09646705299999958
2	81	False	13	60	0	2	0	model-81.graphml	SCHED	0.058442571999998805
2	82	False	13	60	0	2	0	model-82.graphml	SCHED	0.060749754999999794
2	83	False	13	60	0	2	0	model-83.graphml	SCHED	0.07248975599999952
2	84	False	13	60	0	2	0	model-84.graphml	SCHED	0.07651182300000059
2	85	False	13	60	0	2	0	model-85.graphml	SCHED	0.06815839899999965
2	86	False	13	60	0	2	0	model-86.graphml	SCHED	0.0759480289999992
2	87	False	13	60	0	2	0	model-87.graphml	SCHED	0.08314479300000066
2	88	False	13	60	0	2	0	model-88.graphml	SCHED	0.07102014799999878
2	89	False	13	60	0	2	0	model-89.graphml	SCHED	0.07629384600000044
2	90	False	13	60	0	2	0	model-90.graphml	SCHED	0.07944615499999941
2	91	False	13	70	0	2	0	model-91.graphml	SCHED	0.08904172400000121
2	92	False	13	70	0	2	0	model-92.graphml	SCHED	0.10116736800000048
2	93	False	13	70	0	2	0	model-93.graphml	SCHED	0.11103646699999992
2	94	False	13	70	0	2	0	model-94.graphml	SCHED	0.0733621479999993
2	95	False	13	70	0	2	0	model-95.graphml	SCHED	0.06167318599999838
