Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Mixed	Time
1	1	False	13	50	0	2	0	model-1.graphml	SCHED	0.030195273000000022
1	2	False	13	50	0	2	0	model-2.graphml	SCHED	0.03036317200000005
1	3	False	13	50	0	2	0	model-3.graphml	SCHED	0.030294158000000015
1	4	False	13	50	0	2	0	model-4.graphml	SCHED	0.030619118999999917
1	5	False	13	50	0	2	0	model-5.graphml	SCHED	0.03131246700000001
1	6	False	13	50	0	2	0	model-6.graphml	SCHED	0.030377877000000053
1	7	False	13	50	0	2	0	model-7.graphml	SCHED	0.03005092399999998
1	8	False	13	50	0	2	0	model-8.graphml	SCHED	0.02999236000000005
1	9	False	13	50	0	2	0	model-9.graphml	SCHED	0.02983759400000008
1	10	False	13	50	0	2	0	model-10.graphml	SCHED	0.030122404999999963
1	11	False	13	60	0	2	0	model-11.graphml	SCHED	0.03029049500000003
1	12	False	13	60	0	2	0	model-12.graphml	SCHED	0.030880080999999948
1	13	False	13	60	0	2	0	model-13.graphml	SCHED	0.03026811500000015
1	14	False	13	60	0	2	0	model-14.graphml	SCHED	0.03057787099999998
1	15	False	13	60	0	2	0	model-15.graphml	SCHED	0.031200904999999945
1	16	False	13	60	0	2	0	model-16.graphml	SCHED	0.030209577000000154
1	17	False	13	60	0	2	0	model-17.graphml	SCHED	0.030193415000000057
1	18	False	13	60	0	2	0	model-18.graphml	SCHED	0.03047993800000004
1	19	False	13	60	0	2	0	model-19.graphml	SCHED	0.030443993000000003
1	20	False	13	60	0	2	0	model-20.graphml	SCHED	0.031067493999999973
1	21	False	13	70	0	2	0	model-21.graphml	SCHED	0.03032727099999999
1	22	False	13	70	0	2	0	model-22.graphml	SCHED	0.030514981000000052
1	23	False	13	70	0	2	0	model-23.graphml	SCHED	0.03751328799999998
1	24	False	13	70	0	2	0	model-24.graphml	SCHED	0.04168711099999989
1	25	False	13	70	0	2	0	model-25.graphml	SCHED	0.04132204399999995
1	26	False	13	70	0	2	0	model-26.graphml	SCHED	0.041333212000000064
1	27	False	13	70	0	2	0	model-27.graphml	SCHED	0.031105487999999903
1	28	False	13	70	0	2	0	model-28.graphml	SCHED	0.03040243599999992
1	29	False	13	70	0	2	0	model-29.graphml	SCHED	0.030509702999999888
