Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
1	1	False	13	50	0	2	0	model-1.graphml	SCHED	0.027713433999999926
1	2	False	13	50	0	2	0	model-2.graphml	SCHED	0.02754479700000001
1	3	False	13	50	0	2	0	model-3.graphml	SCHED	0.0278022
1	4	False	13	50	0	2	0	model-4.graphml	SCHED	0.028870678999999955
1	5	False	13	50	0	2	0	model-5.graphml	SCHED	0.027360002999999966
1	6	False	13	50	0	2	0	model-6.graphml	SCHED	0.028731674999999957
1	7	False	13	50	0	2	0	model-7.graphml	SCHED	0.02759529599999999
1	8	False	13	50	0	2	0	model-8.graphml	SCHED	0.02735154900000003
1	9	False	13	50	0	2	0	model-9.graphml	SCHED	0.032106407000000003
1	10	False	13	50	0	2	0	model-10.graphml	SCHED	0.02720572600000004
1	11	False	13	60	0	2	0	model-11.graphml	SCHED	0.027223237000000067
1	12	False	13	60	0	2	0	model-12.graphml	SCHED	0.027281204000000003
1	13	False	13	60	0	2	0	model-13.graphml	SCHED	0.02729767000000005
1	14	False	13	60	0	2	0	model-14.graphml	SCHED	0.027349690000000093
1	15	False	13	60	0	2	0	model-15.graphml	SCHED	0.02796667900000005
1	16	False	13	60	0	2	0	model-16.graphml	SCHED	0.027097994000000014
1	17	False	13	60	0	2	0	model-17.graphml	SCHED	0.026834202999999945
1	18	False	13	60	0	2	0	model-18.graphml	SCHED	0.026819407000000073
1	19	False	13	60	0	2	0	model-19.graphml	SCHED	0.026637167999999933
1	20	False	13	60	0	2	0	model-20.graphml	SCHED	0.02670292200000013
1	21	False	13	70	0	2	0	model-21.graphml	SCHED	0.026249954999999936
1	22	False	13	70	0	2	0	model-22.graphml	SCHED	0.02758206200000002
1	23	False	13	70	0	2	0	model-23.graphml	SCHED	0.026828815000000006
1	24	False	13	70	0	2	0	model-24.graphml	SCHED	0.026736295999999937
1	25	False	13	70	0	2	0	model-25.graphml	SCHED	0.027018078
1	26	False	13	70	0	2	0	model-26.graphml	SCHED	0.027306491000000044
1	27	False	13	70	0	2	0	model-27.graphml	SCHED	0.02717940699999999
1	28	False	13	70	0	2	0	model-28.graphml	SCHED	0.02736719100000018
1	29	False	13	70	0	2	0	model-29.graphml	SCHED	0.02725323099999999
1	30	False	13	70	0	2	0	model-30.graphml	SCHED	0.0270947829999999
1	31	False	13	80	0	2	0	model-31.graphml	SCHED	0.02683663600000008
1	32	False	13	80	0	2	0	model-32.graphml	SCHED	0.02715866
1	33	False	13	80	0	2	0	model-33.graphml	SCHED	0.02677014100000008
1	34	False	13	80	0	2	0	model-34.graphml	SCHED	0.026584365999999804
1	35	False	13	80	0	2	0	model-35.graphml	SCHED	0.026522965999999926
1	36	False	13	80	0	2	0	model-36.graphml	SCHED	0.02708035799999986
1	37	False	13	80	0	2	0	model-37.graphml	SCHED	0.026894739000000056
1	38	False	13	80	0	2	0	model-38.graphml	SCHED	0.026665877000000116
1	39	False	13	80	0	2	0	model-39.graphml	SCHED	0.02726291199999986
1	40	False	13	80	0	2	0	model-40.graphml	SCHED	0.02730988599999984
1	41	False	13	90	0	2	0	model-41.graphml	SCHED	0.0271620560000001
1	42	False	13	90	0	2	0	model-42.graphml	SCHED	0.027150277999999917
1	43	False	13	90	0	2	0	model-43.graphml	SCHED	0.02692714499999993
1	44	False	13	90	0	2	0	model-44.graphml	SCHED	0.027274731999999968
1	45	False	13	90	0	2	0	model-45.graphml	SCHED	0.026847952000000008
1	46	False	13	90	0	2	0	model-46.graphml	SCHED	0.027158232000000115
1	47	False	13	90	0	2	0	model-47.graphml	SCHED	0.027072424999999845
1	48	False	13	90	0	2	0	model-48.graphml	SCHED	0.027058613000000342
1	49	False	13	90	0	2	0	model-49.graphml	SCHED	0.02661415800000011
1	50	False	13	90	0	2	0	model-50.graphml	SCHED	0.026627293999999857
1	51	False	13	95	0	2	0	model-51.graphml	SCHED	0.027030881000000395
1	52	False	13	95	0	2	0	model-52.graphml	SCHED	0.02727231200000002
1	53	False	13	95	0	2	0	model-53.graphml	SCHED	0.027339437999999827
1	54	False	13	95	0	2	0	model-54.graphml	SCHED	0.027712477999999763
