Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	CPA
2	15191	True	13	50	0	2	0	model-15191.graphml	T12	378403
2	15754	True	13	50	1	2	1	model-15754.graphml	T12	23024
1	20180	True	9	60	0	2	0	model-20180.graphml	T8	43083
2	20515	True	9	50	0	2	2	model-20515.graphml	T8	167747
1	20590	True	9	50	1	2	0	model-20590.graphml	T8	37155
1	20595	True	9	60	1	2	0	model-20595.graphml	T8	160937
2	20670	True	9	60	1	2	0	model-20670.graphml	T8	40136
2	20672	True	9	70	1	2	0	model-20672.graphml	T9	135913
1	20721	True	9	50	1	2	1	model-20721.graphml	T8	8859
1	20729	True	9	50	1	2	1	model-20729.graphml	T17	34706
1	20737	True	9	60	1	2	1	model-20737.graphml	T17	111711
2	20944	True	9	60	1	2	2	model-20944.graphml	T8	232304
2	21071	True	9	50	2	2	0	model-21071.graphml	T8	158370
2	21076	True	9	50	2	2	0	model-21076.graphml	T14	12029
2	21079	True	9	50	2	2	0	model-21079.graphml	T14	79310
2	21080	True	9	50	2	2	0	model-21080.graphml	T8	17437
2	21354	True	9	50	2	2	2	model-21354.graphml	T11	76878
2	21359	True	9	50	2	2	2	model-21359.graphml	T11	83684
2	21361	True	9	60	2	2	2	model-21361.graphml	T11	178151
1	22053	True	9	50	1	4	0	model-22053.graphml	T8	51857
1	22061	True	9	60	1	4	0	model-22061.graphml	T26	85312
2	22126	True	9	50	1	4	0	model-22126.graphml	T25	32975
3	22200	True	9	50	1	4	0	model-22200.graphml	T23	30155
3	22203	True	9	60	1	4	0	model-22203.graphml	T9	132502
1	22261	True	9	50	1	4	1	model-22261.graphml	T35	170410
1	22262	True	9	50	1	4	1	model-22262.graphml	T8	55642
1	22280	True	9	60	1	4	1	model-22280.graphml	T35	251001
1	22475	True	9	50	1	4	2	model-22475.graphml	T26	2860
1	22479	True	9	50	1	4	2	model-22479.graphml	T8	155621
2	22547	True	9	50	1	4	2	model-22547.graphml	T8	23154
2	22769	True	9	60	2	4	0	model-22769.graphml	T8	58375
3	22824	True	9	50	2	4	0	model-22824.graphml	T19	134359
3	22825	True	9	50	2	4	0	model-22825.graphml	T8	30856
3	22827	True	9	50	2	4	0	model-22827.graphml	T8	21494
2	22968	True	9	50	2	4	1	model-22968.graphml	T8	17479
2	22979	True	9	60	2	4	1	model-22979.graphml	T8	47139
2	23176	True	9	50	2	4	2	model-23176.graphml	T8	105341
2	23177	True	9	50	2	4	2	model-23177.graphml	T8	97929
2	23179	True	9	50	2	4	2	model-23179.graphml	T21	47281
2	23190	True	9	60	2	4	2	model-23190.graphml	T23	30497
3	23248	True	9	50	2	4	2	model-23248.graphml	T25	57707
1	23948	True	9	50	1	8	0	model-23948.graphml	T44	46983
2	24237	True	9	60	1	8	1	model-24237.graphml	T52	106614
3	24715	True	9	50	2	8	0	model-24715.graphml	T19	61993
2	24855	True	9	50	2	8	1	model-24855.graphml	T26	15530
1	25201	True	5	50	0	2	0	model-25201.graphml	T9	35600
1	25202	True	5	50	0	2	0	model-25202.graphml	T4	38711
1	25203	True	5	50	0	2	0	model-25203.graphml	T4	41294
1	25204	True	5	50	0	2	0	model-25204.graphml	T9	34824
1	25205	True	5	50	0	2	0	model-25205.graphml	T9	63559
1	25206	True	5	50	0	2	0	model-25206.graphml	T4	26903
1	25207	True	5	50	0	2	0	model-25207.graphml	T4	95947
1	25209	True	5	50	0	2	0	model-25209.graphml	T9	65901
1	25210	True	5	50	0	2	0	model-25210.graphml	T9	26039
1	25212	True	5	60	0	2	0	model-25212.graphml	T9	89733
1	25214	True	5	60	0	2	0	model-25214.graphml	T4	91832
1	25217	True	5	60	0	2	0	model-25217.graphml	T9	86439
1	25219	True	5	60	0	2	0	model-25219.graphml	T4	31913
1	25223	True	5	70	0	2	0	model-25223.graphml	T9	129782
1	25224	True	5	70	0	2	0	model-25224.graphml	T4	109510
1	25226	True	5	70	0	2	0	model-25226.graphml	T4	152550
1	25230	True	5	70	0	2	0	model-25230.graphml	T4	153387
1	25235	True	5	80	0	2	0	model-25235.graphml	T9	81530
2	25271	True	5	50	0	2	0	model-25271.graphml	T4	22456
2	25272	True	5	50	0	2	0	model-25272.graphml	T8	27865
2	25273	True	5	50	0	2	0	model-25273.graphml	T4	11136
2	25274	True	5	50	0	2	0	model-25274.graphml	T8	114449
