Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	CPA	Time
1	15121	True	13	50	0	2	0	model-15121.graphml	UNSCHED	10.991784795000001
1	15122	True	13	50	0	2	0	model-15122.graphml	UNSCHED	23.807376261
1	15123	True	13	50	0	2	0	model-15123.graphml	UNSCHED	13.875342682000003
1	15124	True	13	50	0	2	0	model-15124.graphml	UNSCHED	8.944083583999998
1	15125	True	13	50	0	2	0	model-15125.graphml	UNSCHED	6.343945052000009
1	15126	True	13	50	0	2	0	model-15126.graphml	UNSCHED	6.675808263999997
1	15127	True	13	50	0	2	0	model-15127.graphml	UNSCHED	32.42465423700001
1	15128	True	13	50	0	2	0	model-15128.graphml	UNSCHED	5.690584397999999
1	15129	True	13	50	0	2	0	model-15129.graphml	UNSCHED	10.408565036999988
1	15130	True	13	50	0	2	0	model-15130.graphml	UNSCHED	5.047112557999995
1	15131	True	13	60	0	2	0	model-15131.graphml	UNSCHED	2.9762054130000024
1	15132	True	13	60	0	2	0	model-15132.graphml	UNSCHED	2.6340184620000002
1	15133	True	13	60	0	2	0	model-15133.graphml	UNSCHED	2.3818233990000124
1	15134	True	13	60	0	2	0	model-15134.graphml	UNSCHED	3.812185982000017
1	15135	True	13	60	0	2	0	model-15135.graphml	UNSCHED	4.480464061999982
1	15136	True	13	60	0	2	0	model-15136.graphml	UNSCHED	2.3859800399999926
1	15137	True	13	60	0	2	0	model-15137.graphml	UNSCHED	3.732904707000017
1	15138	True	13	60	0	2	0	model-15138.graphml	UNSCHED	2.6699184670000022
1	15139	True	13	60	0	2	0	model-15139.graphml	UNSCHED	3.885486787000019
1	15140	True	13	60	0	2	0	model-15140.graphml	UNSCHED	27.72030732899998
1	15141	True	13	70	0	2	0	model-15141.graphml	UNSCHED	4.073868364999981
1	15142	True	13	70	0	2	0	model-15142.graphml	UNSCHED	0.5786837919999925
1	15143	True	13	70	0	2	0	model-15143.graphml	UNSCHED	0.5579654170000197
1	15144	True	13	70	0	2	0	model-15144.graphml	UNSCHED	3.70565649400001
1	15145	True	13	70	0	2	0	model-15145.graphml	UNSCHED	0.6060496279999938
1	15146	True	13	70	0	2	0	model-15146.graphml	UNSCHED	1.672276064000016
1	15147	True	13	70	0	2	0	model-15147.graphml	UNSCHED	2.3959050269999977
1	15148	True	13	70	0	2	0	model-15148.graphml	UNSCHED	3.046591052999986
1	15149	True	13	70	0	2	0	model-15149.graphml	UNSCHED	2.4248621220000075
1	15150	True	13	70	0	2	0	model-15150.graphml	UNSCHED	0.8676291049999918
1	15151	True	13	80	0	2	0	model-15151.graphml	UNSCHED	3.706947479000007
1	15152	True	13	80	0	2	0	model-15152.graphml	UNSCHED	0.279274584999996
1	15153	True	13	80	0	2	0	model-15153.graphml	UNSCHED	1.2363291560000107
1	15154	True	13	80	0	2	0	model-15154.graphml	UNSCHED	2.1666343519999884
1	15155	True	13	80	0	2	0	model-15155.graphml	UNSCHED	0.8577155339999933
1	15156	True	13	80	0	2	0	model-15156.graphml	UNSCHED	0.6360973559999934
1	15157	True	13	80	0	2	0	model-15157.graphml	UNSCHED	1.95403145100002
1	15158	True	13	80	0	2	0	model-15158.graphml	UNSCHED	2.7497309979999898
1	15159	True	13	80	0	2	0	model-15159.graphml	UNSCHED	0.4489430400000174
1	15160	True	13	80	0	2	0	model-15160.graphml	UNSCHED	1.09679777300002
1	15161	True	13	90	0	2	0	model-15161.graphml	UNSCHED	0.2792173309999839
1	15162	True	13	90	0	2	0	model-15162.graphml	UNSCHED	2.3541495659999896
1	15163	True	13	90	0	2	0	model-15163.graphml	UNSCHED	0.13420832099998847
1	15164	True	13	90	0	2	0	model-15164.graphml	UNSCHED	1.4929733490000103
1	15165	True	13	90	0	2	0	model-15165.graphml	UNSCHED	0.3654634910000141
1	15166	True	13	90	0	2	0	model-15166.graphml	UNSCHED	0.3484859950000043
1	15167	True	13	90	0	2	0	model-15167.graphml	UNSCHED	0.5270393309999974
1	15168	True	13	90	0	2	0	model-15168.graphml	UNSCHED	0.3655401629999915
1	15169	True	13	90	0	2	0	model-15169.graphml	UNSCHED	1.2034820519999982
1	15170	True	13	90	0	2	0	model-15170.graphml	UNSCHED	0.2407622389999915
1	15171	True	13	95	0	2	0	model-15171.graphml	UNSCHED	1.0964921320000087
1	15172	True	13	95	0	2	0	model-15172.graphml	UNSCHED	0.364762589999998
1	15173	True	13	95	0	2	0	model-15173.graphml	UNSCHED	0.6100798109999914
1	15174	True	13	95	0	2	0	model-15174.graphml	UNSCHED	0.11173289100000261
1	15175	True	13	95	0	2	0	model-15175.graphml	UNSCHED	0.1121156410000026
1	15176	True	13	95	0	2	0	model-15176.graphml	UNSCHED	0.2091389840000204
1	15177	True	13	95	0	2	0	model-15177.graphml	UNSCHED	0.1747241970000175
1	15178	True	13	95	0	2	0	model-15178.graphml	UNSCHED	1.291334830000011
1	15179	True	13	95	0	2	0	model-15179.graphml	UNSCHED	0.24859140399999546
1	15180	True	13	95	0	2	0	model-15180.graphml	UNSCHED	0.15205295799998453
1	15181	True	13	98	0	2	0	model-15181.graphml	UNSCHED	0.2018452779999791
1	15182	True	13	98	0	2	0	model-15182.graphml	UNSCHED	1.3913852259999828
1	15183	True	13	98	0	2	0	model-15183.graphml	UNSCHED	1.2408661519999953
1	15184	True	13	98	0	2	0	model-15184.graphml	UNSCHED	0.5775890170000082
1	15185	True	13	98	0	2	0	model-15185.graphml	UNSCHED	1.4768362149999916
1	15186	True	13	98	0	2	0	model-15186.graphml	UNSCHED	1.5734778570000003
1	15187	True	13	98	0	2	0	model-15187.graphml	UNSCHED	0.6982671109999785
1	15188	True	13	98	0	2	0	model-15188.graphml	UNSCHED	1.1082026979999853
1	15189	True	13	98	0	2	0	model-15189.graphml	UNSCHED	0.3250488639999958
1	15190	True	13	98	0	2	0	model-15190.graphml	UNSCHED	0.10830261400002428
2	15191	True	13	50	0	2	0	model-15191.graphml	SCHED	27.144499680000024
2	15192	True	13	50	0	2	0	model-15192.graphml	UNSCHED	10.48813198199997
2	15193	True	13	50	0	2	0	model-15193.graphml	UNSCHED	9.501424163000024
2	15194	True	13	50	0	2	0	model-15194.graphml	UNSCHED	2.9121030619999715
2	15195	True	13	50	0	2	0	model-15195.graphml	UNSCHED	5.92546625600005
2	15196	True	13	50	0	2	0	model-15196.graphml	UNSCHED	5.650700271999995
2	15197	True	13	50	0	2	0	model-15197.graphml	UNSCHED	9.680114908999997
2	15198	True	13	50	0	2	0	model-15198.graphml	UNSCHED	4.322860308999964
2	15199	True	13	50	0	2	0	model-15199.graphml	UNSCHED	10.44339628399996
2	15200	True	13	50	0	2	0	model-15200.graphml	UNSCHED	0.7064472519999754
2	15201	True	13	60	0	2	0	model-15201.graphml	UNSCHED	5.288805934999971
2	15202	True	13	60	0	2	0	model-15202.graphml	UNSCHED	2.517515107999998
