Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	EMSOFT17	Time
1	15121	True	13	50	0	2	0	model-15121.graphml	SCHED	0.0523139640000001
1	15122	True	13	50	0	2	0	model-15122.graphml	SCHED	0.05342727300000005
1	15123	True	13	50	0	2	0	model-15123.graphml	SCHED	0.055610442999999954
1	15124	True	13	50	0	2	0	model-15124.graphml	SCHED	0.05852354000000015
1	15125	True	13	50	0	2	0	model-15125.graphml	SCHED	0.06114194999999989
1	15126	True	13	50	0	2	0	model-15126.graphml	SCHED	0.04122432799999998
1	15127	True	13	50	0	2	0	model-15127.graphml	SCHED	0.038692321000000085
1	15128	True	13	50	0	2	0	model-15128.graphml	SCHED	0.07000137700000009
1	15129	True	13	50	0	2	0	model-15129.graphml	SCHED	0.04885102500000027
1	15130	True	13	50	0	2	0	model-15130.graphml	SCHED	0.05516990299999991
1	15131	True	13	60	0	2	0	model-15131.graphml	SCHED	0.08814278500000006
1	15132	True	13	60	0	2	0	model-15132.graphml	SCHED	0.07690504199999992
1	15133	True	13	60	0	2	0	model-15133.graphml	SCHED	0.0731347819999999
1	15134	True	13	60	0	2	0	model-15134.graphml	SCHED	0.07668609000000037
1	15135	True	13	60	0	2	0	model-15135.graphml	SCHED	0.06047272200000009
1	15136	True	13	60	0	2	0	model-15136.graphml	SCHED	0.10791133200000003
1	15137	True	13	60	0	2	0	model-15137.graphml	SCHED	0.0740544449999998
1	15138	True	13	60	0	2	0	model-15138.graphml	SCHED	0.06153669500000003
1	15139	True	13	60	0	2	0	model-15139.graphml	SCHED	0.06599009299999992
1	15140	True	13	60	0	2	0	model-15140.graphml	SCHED	0.05517269399999991
1	15141	True	13	70	0	2	0	model-15141.graphml	SCHED	0.08346216000000029
1	15142	True	13	70	0	2	0	model-15142.graphml	SCHED	0.07447373300000004
1	15143	True	13	70	0	2	0	model-15143.graphml	SCHED	0.14664921300000033
1	15144	True	13	70	0	2	0	model-15144.graphml	SCHED	0.07882116999999988
1	15145	True	13	70	0	2	0	model-15145.graphml	SCHED	0.07812178899999989
1	15146	True	13	70	0	2	0	model-15146.graphml	SCHED	0.06101145799999985
1	15147	True	13	70	0	2	0	model-15147.graphml	SCHED	0.07065447200000019
1	15148	True	13	70	0	2	0	model-15148.graphml	SCHED	0.05406812599999977
1	15149	True	13	70	0	2	0	model-15149.graphml	SCHED	0.09232110000000038
1	15150	True	13	70	0	2	0	model-15150.graphml	SCHED	0.07810666400000033
1	15151	True	13	80	0	2	0	model-15151.graphml	SCHED	0.07559983599999986
1	15152	True	13	80	0	2	0	model-15152.graphml	SCHED	0.061249528999999914
1	15153	True	13	80	0	2	0	model-15153.graphml	SCHED	0.0695078480000002
1	15154	True	13	80	0	2	0	model-15154.graphml	SCHED	0.07075200999999964
1	15155	True	13	80	0	2	0	model-15155.graphml	SCHED	0.10493382199999957
1	15156	True	13	80	0	2	0	model-15156.graphml	SCHED	0.07715247700000027
1	15157	True	13	80	0	2	0	model-15157.graphml	SCHED	0.06859378399999994
1	15158	True	13	80	0	2	0	model-15158.graphml	SCHED	0.12302123699999967
1	15159	True	13	80	0	2	0	model-15159.graphml	SCHED	0.09112807999999983
1	15160	True	13	80	0	2	0	model-15160.graphml	SCHED	0.09147446999999964
1	15161	True	13	90	0	2	0	model-15161.graphml	SCHED	0.10861506400000032
1	15162	True	13	90	0	2	0	model-15162.graphml	SCHED	0.10067068000000035
1	15163	True	13	90	0	2	0	model-15163.graphml	SCHED	0.11247137900000048
1	15164	True	13	90	0	2	0	model-15164.graphml	SCHED	0.09994554499999975
1	15165	True	13	90	0	2	0	model-15165.graphml	SCHED	0.17240701100000067
1	15166	True	13	90	0	2	0	model-15166.graphml	SCHED	0.11733117100000001
1	15167	True	13	90	0	2	0	model-15167.graphml	SCHED	0.07602113200000016
1	15168	True	13	90	0	2	0	model-15168.graphml	SCHED	0.07593980800000022
1	15169	True	13	90	0	2	0	model-15169.graphml	SCHED	0.16389854999999987
1	15170	True	13	90	0	2	0	model-15170.graphml	SCHED	0.12132406599999968
1	15171	True	13	95	0	2	0	model-15171.graphml	SCHED	0.1908537930000005
1	15172	True	13	95	0	2	0	model-15172.graphml	SCHED	0.285777253
1	15173	True	13	95	0	2	0	model-15173.graphml	SCHED	0.17929134999999974
1	15174	True	13	95	0	2	0	model-15174.graphml	SCHED	0.31127695099999997
1	15175	True	13	95	0	2	0	model-15175.graphml	SCHED	0.3637231820000002
1	15176	True	13	95	0	2	0	model-15176.graphml	SCHED	0.22742167599999963
1	15177	True	13	95	0	2	0	model-15177.graphml	SCHED	0.13697107900000027
1	15178	True	13	95	0	2	0	model-15178.graphml	SCHED	0.1311470640000003
1	15179	True	13	95	0	2	0	model-15179.graphml	SCHED	0.20529016799999944
1	15180	True	13	95	0	2	0	model-15180.graphml	SCHED	0.15298130099999963
1	15181	True	13	98	0	2	0	model-15181.graphml	SCHED	0.19715286899999995
1	15182	True	13	98	0	2	0	model-15182.graphml	SCHED	0.2824303120000007
1	15183	True	13	98	0	2	0	model-15183.graphml	SCHED	0.2486066539999996
1	15184	True	13	98	0	2	0	model-15184.graphml	SCHED	0.3904662830000003
1	15185	True	13	98	0	2	0	model-15185.graphml	SCHED	0.31273013200000044
1	15186	True	13	98	0	2	0	model-15186.graphml	SCHED	0.21975502300000116
1	15187	True	13	98	0	2	0	model-15187.graphml	SCHED	0.23942133599999949
1	15188	True	13	98	0	2	0	model-15188.graphml	SCHED	0.1461953600000001
1	15189	True	13	98	0	2	0	model-15189.graphml	SCHED	0.31975500800000134
1	15190	True	13	98	0	2	0	model-15190.graphml	SCHED	0.2733117699999994
2	15191	True	13	50	0	2	0	model-15191.graphml	SCHED	0.030538045000000125
2	15192	True	13	50	0	2	0	model-15192.graphml	SCHED	0.03793968400000125
2	15193	True	13	50	0	2	0	model-15193.graphml	SCHED	0.053547709000000054
2	15194	True	13	50	0	2	0	model-15194.graphml	SCHED	0.07593186799999962
2	15195	True	13	50	0	2	0	model-15195.graphml	SCHED	0.05390930099999913
2	15196	True	13	50	0	2	0	model-15196.graphml	SCHED	0.04254072299999834
2	15197	True	13	50	0	2	0	model-15197.graphml	SCHED	0.037170568000000515
2	15198	True	13	50	0	2	0	model-15198.graphml	SCHED	0.03743218299999995
2	15199	True	13	50	0	2	0	model-15199.graphml	SCHED	0.05800055399999948
2	15200	True	13	50	0	2	0	model-15200.graphml	SCHED	0.04172003899999943
2	15201	True	13	60	0	2	0	model-15201.graphml	SCHED	0.03840023199999898
2	15202	True	13	60	0	2	0	model-15202.graphml	SCHED	0.06194583299999934
2	15203	True	13	60	0	2	0	model-15203.graphml	SCHED	0.06349696200000032
2	15204	True	13	60	0	2	0	model-15204.graphml	SCHED	0.04775388799999902
2	15205	True	13	60	0	2	0	model-15205.graphml	SCHED	0.05332262599999993
2	15206	True	13	60	0	2	0	model-15206.graphml	SCHED	0.04672149900000022
2	15207	True	13	60	0	2	0	model-15207.graphml	SCHED	0.048723006000001234
2	15208	True	13	60	0	2	0	model-15208.graphml	SCHED	0.06911972500000019
2	15209	True	13	60	0	2	0	model-15209.graphml	SCHED	0.043682411999999005
2	15210	True	13	60	0	2	0	model-15210.graphml	SCHED	0.05100152300000005
2	15211	True	13	70	0	2	0	model-15211.graphml	SCHED	0.039466593000000216
2	15212	True	13	70	0	2	0	model-15212.graphml	SCHED	0.07240051800000025
2	15213	True	13	70	0	2	0	model-15213.graphml	SCHED	0.07296195300000008
2	15214	True	13	70	0	2	0	model-15214.graphml	SCHED	0.04525316400000001
2	15215	True	13	70	0	2	0	model-15215.graphml	SCHED	0.06323103499999938
2	15216	True	13	70	0	2	0	model-15216.graphml	SCHED	0.03480592400000049
2	15217	True	13	70	0	2	0	model-15217.graphml	SCHED	0.033204220000000007
2	15218	True	13	70	0	2	0	model-15218.graphml	SCHED	0.03937299499999902
2	15219	True	13	70	0	2	0	model-15219.graphml	SCHED	0.05490061300000093
2	15220	True	13	70	0	2	0	model-15220.graphml	SCHED	0.03803703600000041
2	15221	True	13	80	0	2	0	model-15221.graphml	SCHED	0.049707609000000375
2	15222	True	13	80	0	2	0	model-15222.graphml	SCHED	0.06375442600000092
2	15223	True	13	80	0	2	0	model-15223.graphml	SCHED	0.06294839500000116
2	15224	True	13	80	0	2	0	model-15224.graphml	SCHED	0.04688364299999925
2	15225	True	13	80	0	2	0	model-15225.graphml	SCHED	0.04221448799999905
2	15226	True	13	80	0	2	0	model-15226.graphml	SCHED	0.055063666000000566
2	15227	True	13	80	0	2	0	model-15227.graphml	SCHED	0.0380956690000005
2	15228	True	13	80	0	2	0	model-15228.graphml	SCHED	0.04377684099999968
2	15229	True	13	80	0	2	0	model-15229.graphml	SCHED	0.05242683900000067
2	15230	True	13	80	0	2	0	model-15230.graphml	SCHED	0.056026326999999654
2	15231	True	13	90	0	2	0	model-15231.graphml	SCHED	0.044015829000001006
2	15232	True	13	90	0	2	0	model-15232.graphml	SCHED	0.058181323999999535
2	15233	True	13	90	0	2	0	model-15233.graphml	SCHED	0.04794303100000086
2	15234	True	13	90	0	2	0	model-15234.graphml	SCHED	0.05006663400000022
2	15235	True	13	90	0	2	0	model-15235.graphml	SCHED	0.05269170200000062
2	15236	True	13	90	0	2	0	model-15236.graphml	SCHED	0.0489553530000002
2	15237	True	13	90	0	2	0	model-15237.graphml	SCHED	0.05386242299999999
2	15238	True	13	90	0	2	0	model-15238.graphml	SCHED	0.03841937099999981
2	15239	True	13	90	0	2	0	model-15239.graphml	SCHED	0.054780392999999705
2	15240	True	13	90	0	2	0	model-15240.graphml	SCHED	0.06608319000000051
2	15241	True	13	95	0	2	0	model-15241.graphml	SCHED	0.05070208899999962
2	15242	True	13	95	0	2	0	model-15242.graphml	SCHED	0.06572842599999973
2	15243	True	13	95	0	2	0	model-15243.graphml	SCHED	0.041060422999999346
2	15244	True	13	95	0	2	0	model-15244.graphml	SCHED	0.05916781400000026
2	15245	True	13	95	0	2	0	model-15245.graphml	SCHED	0.07631229500000103
2	15246	True	13	95	0	2	0	model-15246.graphml	SCHED	0.04228898300000061
2	15247	True	13	95	0	2	0	model-15247.graphml	SCHED	0.05150683799999989
2	15248	True	13	95	0	2	0	model-15248.graphml	SCHED	0.06779515500000066
2	15249	True	13	95	0	2	0	model-15249.graphml	SCHED	0.06812304700000027
2	15250	True	13	95	0	2	0	model-15250.graphml	SCHED	0.0636152610000007
2	15251	True	13	98	0	2	0	model-15251.graphml	SCHED	0.10184919199999953
2	15252	True	13	98	0	2	0	model-15252.graphml	SCHED	0.1402804059999987
2	15253	True	13	98	0	2	0	model-15253.graphml	SCHED	0.09444055800000051
2	15254	True	13	98	0	2	0	model-15254.graphml	SCHED	0.10625971400000012
2	15255	True	13	98	0	2	0	model-15255.graphml	SCHED	0.08047904999999922
2	15256	True	13	98	0	2	0	model-15256.graphml	SCHED	0.07985019000000015
2	15257	True	13	98	0	2	0	model-15257.graphml	SCHED	0.09025890800000091
2	15258	True	13	98	0	2	0	model-15258.graphml	SCHED	0.18332008600000016
2	15259	True	13	98	0	2	0	model-15259.graphml	SCHED	0.15439269099999997
2	15260	True	13	98	0	2	0	model-15260.graphml	SCHED	0.12799338299999974
1	15261	True	13	50	0	2	1	model-15261.graphml	SCHED	0.04608565700000078
1	15262	True	13	50	0	2	1	model-15262.graphml	SCHED	0.049542649999999355
1	15263	True	13	50	0	2	1	model-15263.graphml	SCHED	0.05692288899999909
1	15264	True	13	50	0	2	1	model-15264.graphml	SCHED	0.04664761999999989
1	15265	True	13	50	0	2	1	model-15265.graphml	SCHED	0.07130465600000058
1	15266	True	13	50	0	2	1	model-15266.graphml	SCHED	0.06018942700000096
1	15267	True	13	50	0	2	1	model-15267.graphml	SCHED	0.048468342000001385
1	15268	True	13	50	0	2	1	model-15268.graphml	SCHED	0.06095790000000001
1	15269	True	13	50	0	2	1	model-15269.graphml	SCHED	0.041382926999999015
1	15270	True	13	50	0	2	1	model-15270.graphml	SCHED	0.048539434999998576
1	15271	True	13	60	0	2	1	model-15271.graphml	SCHED	0.044478858999999815
1	15272	True	13	60	0	2	1	model-15272.graphml	SCHED	0.06738060800000056
1	15273	True	13	60	0	2	1	model-15273.graphml	SCHED	0.0446436340000016
1	15274	True	13	60	0	2	1	model-15274.graphml	SCHED	0.04088575099999936
1	15275	True	13	60	0	2	1	model-15275.graphml	SCHED	0.05139091199999868
1	15276	True	13	60	0	2	1	model-15276.graphml	SCHED	0.04374153199999853
1	15277	True	13	60	0	2	1	model-15277.graphml	SCHED	0.05610892199999995
1	15278	True	13	60	0	2	1	model-15278.graphml	SCHED	0.060228585000000834
1	15279	True	13	60	0	2	1	model-15279.graphml	SCHED	0.043130254999997675
1	15280	True	13	60	0	2	1	model-15280.graphml	SCHED	0.06234764700000284
1	15281	True	13	70	0	2	1	model-15281.graphml	SCHED	0.06727764700000094
1	15282	True	13	70	0	2	1	model-15282.graphml	SCHED	0.07193045500000039
1	15283	True	13	70	0	2	1	model-15283.graphml	SCHED	0.058311024999998295
1	15284	True	13	70	0	2	1	model-15284.graphml	SCHED	0.049351978000000685
1	15285	True	13	70	0	2	1	model-15285.graphml	SCHED	0.06662641199999797
1	15286	True	13	70	0	2	1	model-15286.graphml	SCHED	0.057002894000000026
1	15287	True	13	70	0	2	1	model-15287.graphml	SCHED	0.0738460190000012
1	15288	True	13	70	0	2	1	model-15288.graphml	SCHED	0.05174500200000054
