Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
1	15121	True	13	50	0	2	0	model-15121.graphml	T12	1973
1	15122	True	13	50	0	2	0	model-15122.graphml	T12	3261
1	15123	True	13	50	0	2	0	model-15123.graphml	T12	2157
1	15124	True	13	50	0	2	0	model-15124.graphml	T25	3445
1	15125	True	13	50	0	2	0	model-15125.graphml	T12	3445
1	15126	True	13	50	0	2	0	model-15126.graphml	T12	3261
1	15127	True	13	50	0	2	0	model-15127.graphml	T25	3364
1	15128	True	13	50	0	2	0	model-15128.graphml	T25	3121
1	15129	True	13	50	0	2	0	model-15129.graphml	T12	3261
1	15130	True	13	50	0	2	0	model-15130.graphml	T12	3261
1	15131	True	13	60	0	2	0	model-15131.graphml	T12	5107
1	15132	True	13	60	0	2	0	model-15132.graphml	T12	3034
1	15133	True	13	60	0	2	0	model-15133.graphml	T12	4134
1	15134	True	13	60	0	2	0	model-15134.graphml	T12	5204
1	15135	True	13	60	0	2	0	model-15135.graphml	T12	5107
1	15136	True	13	60	0	2	0	model-15136.graphml	T25	5398
1	15137	True	13	60	0	2	0	model-15137.graphml	T25	3452
1	15138	True	13	60	0	2	0	model-15138.graphml	T25	5398
1	15139	True	13	60	0	2	0	model-15139.graphml	T25	5398
1	15140	True	13	60	0	2	0	model-15140.graphml	T12	4428
1	15141	True	13	70	0	2	0	model-15141.graphml	T12	5251
1	15142	True	13	70	0	2	0	model-15142.graphml	T12	5508
1	15143	True	13	70	0	2	0	model-15143.graphml	T12	5282
1	15144	True	13	70	0	2	0	model-15144.graphml	T25	6299
1	15145	True	13	70	0	2	0	model-15145.graphml	T25	4705
1	15146	True	13	70	0	2	0	model-15146.graphml	T12	5621
1	15147	True	13	70	0	2	0	model-15147.graphml	T25	6299
1	15148	True	13	70	0	2	0	model-15148.graphml	T12	5929
1	15149	True	13	70	0	2	0	model-15149.graphml	T25	6299
1	15150	True	13	70	0	2	0	model-15150.graphml	T12	3017
1	15151	True	13	80	0	2	0	model-15151.graphml	T12	6167
1	15152	True	13	80	0	2	0	model-15152.graphml	T25	7199
1	15153	True	13	80	0	2	0	model-15153.graphml	T25	7199
1	15154	True	13	80	0	2	0	model-15154.graphml	T12	4439
1	15155	True	13	80	0	2	0	model-15155.graphml	T12	6038
1	15156	True	13	80	0	2	0	model-15156.graphml	T25	7199
1	15157	True	13	80	0	2	0	model-15157.graphml	T12	5615
1	15158	True	13	80	0	2	0	model-15158.graphml	T25	5522
1	15159	True	13	80	0	2	0	model-15159.graphml	T25	4619
1	15160	True	13	80	0	2	0	model-15160.graphml	T12	6647
1	15161	True	13	90	0	2	0	model-15161.graphml	T12	6752
1	15162	True	13	90	0	2	0	model-15162.graphml	T25	15865
1	15163	True	13	90	0	2	0	model-15163.graphml	T12	10658
1	15164	True	13	90	0	2	0	model-15164.graphml	T25	6068
1	15165	True	13	90	0	2	0	model-15165.graphml	T12	5365
1	15166	True	13	90	0	2	0	model-15166.graphml	T25	10990
1	15167	True	13	90	0	2	0	model-15167.graphml	T12	11818
1	15168	True	13	90	0	2	0	model-15168.graphml	T12	10368
1	15169	True	13	90	0	2	0	model-15169.graphml	T12	6728
1	15170	True	13	90	0	2	0	model-15170.graphml	T12	4990
1	15171	True	13	95	0	2	0	model-15171.graphml	T25	7779
1	15172	True	13	95	0	2	0	model-15172.graphml	T25	6855
1	15173	True	13	95	0	2	0	model-15173.graphml	T25	15353
1	15174	True	13	95	0	2	0	model-15174.graphml	T12	7187
1	15175	True	13	95	0	2	0	model-15175.graphml	T12	7187
1	15176	True	13	95	0	2	0	model-15176.graphml	T25	10908
1	15177	True	13	95	0	2	0	model-15177.graphml	T12	7582
1	15178	True	13	95	0	2	0	model-15178.graphml	T25	7009
1	15179	True	13	95	0	2	0	model-15179.graphml	T12	5646
1	15180	True	13	95	0	2	0	model-15180.graphml	T12	12177
1	15181	True	13	98	0	2	0	model-15181.graphml	T25	15315
1	15182	True	13	98	0	2	0	model-15182.graphml	T12	5184
1	15183	True	13	98	0	2	0	model-15183.graphml	T25	7555
1	15184	True	13	98	0	2	0	model-15184.graphml	T25	6923
1	15185	True	13	98	0	2	0	model-15185.graphml	T25	14235
1	15186	True	13	98	0	2	0	model-15186.graphml	T25	15315
1	15187	True	13	98	0	2	0	model-15187.graphml	T12	11691
1	15188	True	13	98	0	2	0	model-15188.graphml	T25	14235
1	15189	True	13	98	0	2	0	model-15189.graphml	T25	10410
1	15190	True	13	98	0	2	0	model-15190.graphml	T12	20763
2	15191	True	13	50	0	2	0	model-15191.graphml	T12	3685
2	15192	True	13	50	0	2	0	model-15192.graphml	T12	3685
2	15193	True	13	50	0	2	0	model-15193.graphml	T12	3685
2	15194	True	13	50	0	2	0	model-15194.graphml	T16	3685
2	15195	True	13	50	0	2	0	model-15195.graphml	T12	3685
2	15196	True	13	50	0	2	0	model-15196.graphml	T16	3469
2	15197	True	13	50	0	2	0	model-15197.graphml	T16	3685
2	15198	True	13	50	0	2	0	model-15198.graphml	T12	3469
2	15199	True	13	50	0	2	0	model-15199.graphml	T12	3685
2	15200	True	13	50	0	2	0	model-15200.graphml	T16	3037
2	15201	True	13	60	0	2	0	model-15201.graphml	T12	4423
2	15202	True	13	60	0	2	0	model-15202.graphml	T12	4423
2	15203	True	13	60	0	2	0	model-15203.graphml	T16	4423
2	15204	True	13	60	0	2	0	model-15204.graphml	T12	4423
2	15205	True	13	60	0	2	0	model-15205.graphml	T16	4423
2	15206	True	13	60	0	2	0	model-15206.graphml	T16	4163
2	15207	True	13	60	0	2	0	model-15207.graphml	T16	4163
2	15208	True	13	60	0	2	0	model-15208.graphml	T16	3903
2	15209	True	13	60	0	2	0	model-15209.graphml	T12	4423
2	15210	True	13	60	0	2	0	model-15210.graphml	T16	4163
2	15211	True	13	70	0	2	0	model-15211.graphml	T16	5160
2	15212	True	13	70	0	2	0	model-15212.graphml	T12	5160
2	15213	True	13	70	0	2	0	model-15213.graphml	T12	5160
2	15214	True	13	70	0	2	0	model-15214.graphml	T12	5160
2	15215	True	13	70	0	2	0	model-15215.graphml	T12	5160
2	15216	True	13	70	0	2	0	model-15216.graphml	T16	5160
2	15217	True	13	70	0	2	0	model-15217.graphml	T16	5160
2	15218	True	13	70	0	2	0	model-15218.graphml	T12	4857
2	15219	True	13	70	0	2	0	model-15219.graphml	T12	5160
2	15220	True	13	70	0	2	0	model-15220.graphml	T12	5160
