Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Mixed	Time
1	15121	True	13	50	0	2	0	model-15121.graphml	SCHED	0.029748443000000013
1	15122	True	13	50	0	2	0	model-15122.graphml	SCHED	0.029397067
1	15123	True	13	50	0	2	0	model-15123.graphml	SCHED	0.029757853999999972
1	15124	True	13	50	0	2	0	model-15124.graphml	SCHED	0.029549043000000053
1	15125	True	13	50	0	2	0	model-15125.graphml	SCHED	0.02971579499999999
1	15126	True	13	50	0	2	0	model-15126.graphml	SCHED	0.029787781000000013
1	15127	True	13	50	0	2	0	model-15127.graphml	SCHED	0.02964307899999996
1	15128	True	13	50	0	2	0	model-15128.graphml	SCHED	0.02938658499999991
1	15129	True	13	50	0	2	0	model-15129.graphml	SCHED	0.029386926000000035
1	15130	True	13	50	0	2	0	model-15130.graphml	SCHED	0.029522111000000018
1	15131	True	13	60	0	2	0	model-15131.graphml	SCHED	0.029888281000000072
1	15132	True	13	60	0	2	0	model-15132.graphml	SCHED	0.029550681999999995
1	15133	True	13	60	0	2	0	model-15133.graphml	SCHED	0.02957077100000005
1	15134	True	13	60	0	2	0	model-15134.graphml	SCHED	0.029794391999999892
1	15135	True	13	60	0	2	0	model-15135.graphml	SCHED	0.03009849500000006
1	15136	True	13	60	0	2	0	model-15136.graphml	SCHED	0.02959771600000005
1	15137	True	13	60	0	2	0	model-15137.graphml	SCHED	0.029983108000000147
1	15138	True	13	60	0	2	0	model-15138.graphml	SCHED	0.029633756000000178
1	15139	True	13	60	0	2	0	model-15139.graphml	SCHED	0.02993700399999999
1	15140	True	13	60	0	2	0	model-15140.graphml	SCHED	0.02979251099999991
1	15141	True	13	70	0	2	0	model-15141.graphml	SCHED	0.030520667999999862
1	15142	True	13	70	0	2	0	model-15142.graphml	SCHED	0.029692072999999874
1	15143	True	13	70	0	2	0	model-15143.graphml	SCHED	0.029963010999999984
1	15144	True	13	70	0	2	0	model-15144.graphml	SCHED	0.029836113999999858
1	15145	True	13	70	0	2	0	model-15145.graphml	SCHED	0.029476406999999982
1	15146	True	13	70	0	2	0	model-15146.graphml	SCHED	0.03011449299999991
