Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
1	15121	True	13	50	0	2	0	model-15121.graphml	SCHED	0.030451015000000026
1	15122	True	13	50	0	2	0	model-15122.graphml	SCHED	0.03314737700000003
1	15123	True	13	50	0	2	0	model-15123.graphml	SCHED	0.029714266999999905
1	15124	True	13	50	0	2	0	model-15124.graphml	SCHED	0.029825675000000107
1	15125	True	13	50	0	2	0	model-15125.graphml	SCHED	0.029872497999999803
1	15126	True	13	50	0	2	0	model-15126.graphml	SCHED	0.03011381699999993
1	15127	True	13	50	0	2	0	model-15127.graphml	SCHED	0.03034791299999995
1	15128	True	13	50	0	2	0	model-15128.graphml	SCHED	0.03038035199999989
1	15129	True	13	50	0	2	0	model-15129.graphml	SCHED	0.029934848999999986
1	15130	True	13	50	0	2	0	model-15130.graphml	SCHED	0.029820712999999888
1	15131	True	13	60	0	2	0	model-15131.graphml	SCHED	0.03006876600000008
1	15132	True	13	60	0	2	0	model-15132.graphml	SCHED	0.029862266999999942
1	15133	True	13	60	0	2	0	model-15133.graphml	SCHED	0.029855454999999864
1	15134	True	13	60	0	2	0	model-15134.graphml	SCHED	0.03023082499999985
1	15135	True	13	60	0	2	0	model-15135.graphml	SCHED	0.031536413999999846
1	15136	True	13	60	0	2	0	model-15136.graphml	SCHED	0.030228793999999892
1	15137	True	13	60	0	2	0	model-15137.graphml	SCHED	0.036485442999999895
1	15138	True	13	60	0	2	0	model-15138.graphml	SCHED	0.043685171000000134
1	15139	True	13	60	0	2	0	model-15139.graphml	SCHED	0.042199353999999856
1	15140	True	13	60	0	2	0	model-15140.graphml	SCHED	0.03953855500000003
1	15141	True	13	70	0	2	0	model-15141.graphml	SCHED	0.03976652799999991
1	15142	True	13	70	0	2	0	model-15142.graphml	SCHED	0.0399357800000002
1	15143	True	13	70	0	2	0	model-15143.graphml	SCHED	0.0397125009999999
1	15144	True	13	70	0	2	0	model-15144.graphml	SCHED	0.039989491000000044
1	15145	True	13	70	0	2	0	model-15145.graphml	SCHED	0.043579656999999994
1	15146	True	13	70	0	2	0	model-15146.graphml	SCHED	0.032943819999999846
1	15147	True	13	70	0	2	0	model-15147.graphml	SCHED	0.03572478900000009
1	15148	True	13	70	0	2	0	model-15148.graphml	SCHED	0.03019763700000011
1	15149	True	13	70	0	2	0	model-15149.graphml	SCHED	0.030174697000000084
1	15150	True	13	70	0	2	0	model-15150.graphml	SCHED	0.03017557900000023
1	15151	True	13	80	0	2	0	model-15151.graphml	SCHED	0.030255649999999967
1	15152	True	13	80	0	2	0	model-15152.graphml	SCHED	0.03003918999999966
1	15153	True	13	80	0	2	0	model-15153.graphml	SCHED	0.02970341199999993
1	15154	True	13	80	0	2	0	model-15154.graphml	SCHED	0.02981808099999972
1	15155	True	13	80	0	2	0	model-15155.graphml	SCHED	0.03216731699999986
1	15156	True	13	80	0	2	0	model-15156.graphml	SCHED	0.032044729999999966
1	15157	True	13	80	0	2	0	model-15157.graphml	SCHED	0.03202091299999976
1	15158	True	13	80	0	2	0	model-15158.graphml	SCHED	0.03207124200000022
1	15159	True	13	80	0	2	0	model-15159.graphml	SCHED	0.035199679999999844
1	15160	True	13	80	0	2	0	model-15160.graphml	SCHED	0.031894984000000015
1	15161	True	13	90	0	2	0	model-15161.graphml	SCHED	0.03191480999999996
1	15162	True	13	90	0	2	0	model-15162.graphml	SCHED	0.030762950999999816
1	15163	True	13	90	0	2	0	model-15163.graphml	SCHED	0.030897937999999847
1	15164	True	13	90	0	2	0	model-15164.graphml	SCHED	0.03035246299999983
1	15165	True	13	90	0	2	0	model-15165.graphml	SCHED	0.030156247000000302
1	15166	True	13	90	0	2	0	model-15166.graphml	SCHED	0.030167395999999957
1	15167	True	13	90	0	2	0	model-15167.graphml	SCHED	0.03087635199999994
1	15168	True	13	90	0	2	0	model-15168.graphml	SCHED	0.030824426000000127
1	15169	True	13	90	0	2	0	model-15169.graphml	SCHED	0.030439769999999644
1	15170	True	13	90	0	2	0	model-15170.graphml	SCHED	0.029955752000000224
