Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	CPA	Time
1	15121	False	13	50	0	2	0	model-15121.graphml	UNSCHED	5.882720996
1	15122	False	13	50	0	2	0	model-15122.graphml	UNSCHED	8.969136625
1	15123	False	13	50	0	2	0	model-15123.graphml	UNSCHED	13.475333129
1	15124	False	13	50	0	2	0	model-15124.graphml	UNSCHED	16.893928646
1	15125	False	13	50	0	2	0	model-15125.graphml	UNSCHED	13.931277876000003
1	15126	False	13	50	0	2	0	model-15126.graphml	UNSCHED	18.261864603
1	15127	False	13	50	0	2	0	model-15127.graphml	UNSCHED	7.428878558000008
1	15128	False	13	50	0	2	0	model-15128.graphml	UNSCHED	4.451910994000002
1	15129	False	13	50	0	2	0	model-15129.graphml	UNSCHED	7.642466010999996
1	15130	False	13	50	0	2	0	model-15130.graphml	UNSCHED	7.367060241999994
1	15131	False	13	60	0	2	0	model-15131.graphml	UNSCHED	1.1230694329999977
1	15132	False	13	60	0	2	0	model-15132.graphml	UNSCHED	4.278682917000012
1	15133	False	13	60	0	2	0	model-15133.graphml	UNSCHED	7.057393117999993
1	15134	False	13	60	0	2	0	model-15134.graphml	UNSCHED	10.509039133000002
1	15135	False	13	60	0	2	0	model-15135.graphml	UNSCHED	8.72515003800001
1	15136	False	13	60	0	2	0	model-15136.graphml	UNSCHED	9.846878973999992
1	15137	False	13	60	0	2	0	model-15137.graphml	UNSCHED	9.793149206999999
1	15138	False	13	60	0	2	0	model-15138.graphml	UNSCHED	1.8503112940000221
1	15139	False	13	60	0	2	0	model-15139.graphml	UNSCHED	4.055533319000006
1	15140	False	13	60	0	2	0	model-15140.graphml	UNSCHED	5.893839783000004
1	15141	False	13	70	0	2	0	model-15141.graphml	UNSCHED	3.377707216999994
1	15142	False	13	70	0	2	0	model-15142.graphml	UNSCHED	1.1308294330000024
1	15143	False	13	70	0	2	0	model-15143.graphml	UNSCHED	11.168670767999998
1	15144	False	13	70	0	2	0	model-15144.graphml	UNSCHED	5.494173219999993
1	15145	False	13	70	0	2	0	model-15145.graphml	UNSCHED	7.938460079000009
1	15146	False	13	70	0	2	0	model-15146.graphml	UNSCHED	1.095968943999992
1	15147	False	13	70	0	2	0	model-15147.graphml	UNSCHED	6.833266598999984
1	15148	False	13	70	0	2	0	model-15148.graphml	UNSCHED	1.5823025530000052
1	15149	False	13	70	0	2	0	model-15149.graphml	UNSCHED	3.184488668
1	15150	False	13	70	0	2	0	model-15150.graphml	UNSCHED	3.4727781020000066
1	15151	False	13	80	0	2	0	model-15151.graphml	UNSCHED	1.5127272970000263
1	15152	False	13	80	0	2	0	model-15152.graphml	UNSCHED	3.400070980999999
1	15153	False	13	80	0	2	0	model-15153.graphml	UNSCHED	3.1198378900000137
1	15154	False	13	80	0	2	0	model-15154.graphml	UNSCHED	1.0531130829999995
1	15155	False	13	80	0	2	0	model-15155.graphml	UNSCHED	0.2932858039999928
1	15156	False	13	80	0	2	0	model-15156.graphml	UNSCHED	5.6631020889999775
1	15157	False	13	80	0	2	0	model-15157.graphml	UNSCHED	3.871111116999998
1	15158	False	13	80	0	2	0	model-15158.graphml	UNSCHED	1.0819935529999896
1	15159	False	13	80	0	2	0	model-15159.graphml	UNSCHED	1.6794671850000213
1	15160	False	13	80	0	2	0	model-15160.graphml	UNSCHED	1.2491872329999865
1	15161	False	13	90	0	2	0	model-15161.graphml	UNSCHED	2.216898699000012
1	15162	False	13	90	0	2	0	model-15162.graphml	UNSCHED	0.37479860099998064
1	15163	False	13	90	0	2	0	model-15163.graphml	UNSCHED	5.066523316000001
1	15164	False	13	90	0	2	0	model-15164.graphml	UNSCHED	0.22871556399999804
1	15165	False	13	90	0	2	0	model-15165.graphml	UNSCHED	1.3475242629999968
1	15166	False	13	90	0	2	0	model-15166.graphml	UNSCHED	0.583076210999991
1	15167	False	13	90	0	2	0	model-15167.graphml	UNSCHED	0.33256497300001797
1	15168	False	13	90	0	2	0	model-15168.graphml	UNSCHED	0.8200150299999791
