Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	EMSOFT17	Time
1	15121	False	13	50	0	2	0	model-15121.graphml	SCHED	0.05395002399999993
1	15122	False	13	50	0	2	0	model-15122.graphml	SCHED	0.0631052860000001
1	15123	False	13	50	0	2	0	model-15123.graphml	SCHED	0.052157169
1	15124	False	13	50	0	2	0	model-15124.graphml	SCHED	0.05240362400000009
1	15125	False	13	50	0	2	0	model-15125.graphml	SCHED	0.04921082499999985
1	15126	False	13	50	0	2	0	model-15126.graphml	SCHED	0.05744310400000008
1	15127	False	13	50	0	2	0	model-15127.graphml	SCHED	0.07686934699999992
1	15128	False	13	50	0	2	0	model-15128.graphml	SCHED	0.067704392
1	15129	False	13	50	0	2	0	model-15129.graphml	SCHED	0.04598768399999997
1	15130	False	13	50	0	2	0	model-15130.graphml	SCHED	0.06357579400000013
1	15131	False	13	60	0	2	0	model-15131.graphml	SCHED	0.07234165000000026
1	15132	False	13	60	0	2	0	model-15132.graphml	SCHED	0.05413908500000009
1	15133	False	13	60	0	2	0	model-15133.graphml	SCHED	0.140896299
1	15134	False	13	60	0	2	0	model-15134.graphml	SCHED	0.04808749400000023
1	15135	False	13	60	0	2	0	model-15135.graphml	SCHED	0.04728775299999999
1	15136	False	13	60	0	2	0	model-15136.graphml	SCHED	0.0411818420000003
1	15137	False	13	60	0	2	0	model-15137.graphml	SCHED	0.053500321999999656
1	15138	False	13	60	0	2	0	model-15138.graphml	SCHED	0.05301879800000009
1	15139	False	13	60	0	2	0	model-15139.graphml	SCHED	0.05337292000000016
1	15140	False	13	60	0	2	0	model-15140.graphml	SCHED	0.06275113099999974
1	15141	False	13	70	0	2	0	model-15141.graphml	SCHED	0.06848807099999998
1	15142	False	13	70	0	2	0	model-15142.graphml	SCHED	0.09742564499999995
1	15143	False	13	70	0	2	0	model-15143.graphml	SCHED	0.05769245199999995
1	15144	False	13	70	0	2	0	model-15144.graphml	SCHED	0.08170683399999978
1	15145	False	13	70	0	2	0	model-15145.graphml	SCHED	0.07193158799999999
1	15146	False	13	70	0	2	0	model-15146.graphml	SCHED	0.08446865499999978
1	15147	False	13	70	0	2	0	model-15147.graphml	SCHED	0.09275107599999988
1	15148	False	13	70	0	2	0	model-15148.graphml	SCHED	0.0853463630000002
1	15149	False	13	70	0	2	0	model-15149.graphml	SCHED	0.11642062700000011
1	15150	False	13	70	0	2	0	model-15150.graphml	SCHED	0.07676171999999992
1	15151	False	13	80	0	2	0	model-15151.graphml	SCHED	0.0872063139999999
1	15152	False	13	80	0	2	0	model-15152.graphml	SCHED	0.08818321600000001
1	15153	False	13	80	0	2	0	model-15153.graphml	SCHED	0.06034565400000025
1	15154	False	13	80	0	2	0	model-15154.graphml	SCHED	0.07873842100000017
1	15155	False	13	80	0	2	0	model-15155.graphml	SCHED	0.1144068039999997
1	15156	False	13	80	0	2	0	model-15156.graphml	SCHED	0.06391930000000023
1	15157	False	13	80	0	2	0	model-15157.graphml	SCHED	0.07877715099999971
1	15158	False	13	80	0	2	0	model-15158.graphml	SCHED	0.09766072499999989
1	15159	False	13	80	0	2	0	model-15159.graphml	SCHED	0.10962064799999993
1	15160	False	13	80	0	2	0	model-15160.graphml	SCHED	0.10151667500000006
1	15161	False	13	90	0	2	0	model-15161.graphml	SCHED	0.10663686100000014
1	15162	False	13	90	0	2	0	model-15162.graphml	SCHED	0.14633501800000026
1	15163	False	13	90	0	2	0	model-15163.graphml	SCHED	0.09239345399999976
1	15164	False	13	90	0	2	0	model-15164.graphml	SCHED	0.15496389000000033
1	15165	False	13	90	0	2	0	model-15165.graphml	SCHED	0.14472616900000013
1	15166	False	13	90	0	2	0	model-15166.graphml	SCHED	0.17053214499999925
1	15167	False	13	90	0	2	0	model-15167.graphml	SCHED	0.12844743600000008
1	15168	False	13	90	0	2	0	model-15168.graphml	SCHED	0.11089997300000043
1	15169	False	13	90	0	2	0	model-15169.graphml	SCHED	0.17817166099999948
1	15170	False	13	90	0	2	0	model-15170.graphml	SCHED	0.1280218099999999
1	15171	False	13	95	0	2	0	model-15171.graphml	SCHED	0.21117895500000028
1	15172	False	13	95	0	2	0	model-15172.graphml	SCHED	0.1352776640000002
1	15173	False	13	95	0	2	0	model-15173.graphml	SCHED	0.1892791650000003
1	15174	False	13	95	0	2	0	model-15174.graphml	SCHED	0.19976289299999994
1	15175	False	13	95	0	2	0	model-15175.graphml	SCHED	0.13857373799999984
1	15176	False	13	95	0	2	0	model-15176.graphml	SCHED	0.14757134899999969
1	15177	False	13	95	0	2	0	model-15177.graphml	SCHED	0.1775142600000006
1	15178	False	13	95	0	2	0	model-15178.graphml	SCHED	0.13621527899999997
1	15179	False	13	95	0	2	0	model-15179.graphml	SCHED	0.14044675299999998
1	15180	False	13	95	0	2	0	model-15180.graphml	SCHED	0.17914028200000054
1	15181	False	13	98	0	2	0	model-15181.graphml	SCHED	0.7517029820000003
1	15182	False	13	98	0	2	0	model-15182.graphml	SCHED	0.30188564000000007
1	15183	False	13	98	0	2	0	model-15183.graphml	SCHED	0.4190425700000002
1	15184	False	13	98	0	2	0	model-15184.graphml	SCHED	0.4735825800000004
1	15185	False	13	98	0	2	0	model-15185.graphml	SCHED	0.4918759969999993
1	15186	False	13	98	0	2	0	model-15186.graphml	SCHED	0.5146035610000013
1	15187	False	13	98	0	2	0	model-15187.graphml	SCHED	0.36906973500000007
1	15188	False	13	98	0	2	0	model-15188.graphml	SCHED	0.4909277010000004
1	15189	False	13	98	0	2	0	model-15189.graphml	SCHED	0.374729812
1	15190	False	13	98	0	2	0	model-15190.graphml	SCHED	0.5084361600000005
2	15191	False	13	50	0	2	0	model-15191.graphml	SCHED	0.04410509999999945
2	15192	False	13	50	0	2	0	model-15192.graphml	SCHED	0.04239239600000033
2	15193	False	13	50	0	2	0	model-15193.graphml	SCHED	0.05717360400000082
2	15194	False	13	50	0	2	0	model-15194.graphml	SCHED	0.06406446200000104
2	15195	False	13	50	0	2	0	model-15195.graphml	SCHED	0.03648929899999942
2	15196	False	13	50	0	2	0	model-15196.graphml	SCHED	0.11509914899999885
2	15197	False	13	50	0	2	0	model-15197.graphml	SCHED	0.040879431000000466
2	15198	False	13	50	0	2	0	model-15198.graphml	SCHED	0.03799594700000064
2	15199	False	13	50	0	2	0	model-15199.graphml	SCHED	0.04919735999999908
2	15200	False	13	50	0	2	0	model-15200.graphml	SCHED	0.03793865400000129
2	15201	False	13	60	0	2	0	model-15201.graphml	SCHED	0.03993672600000053
2	15202	False	13	60	0	2	0	model-15202.graphml	SCHED	0.05222304299999969
2	15203	False	13	60	0	2	0	model-15203.graphml	SCHED	0.07486749899999978
2	15204	False	13	60	0	2	0	model-15204.graphml	SCHED	0.03381408100000094
2	15205	False	13	60	0	2	0	model-15205.graphml	SCHED	0.03949575499999902
2	15206	False	13	60	0	2	0	model-15206.graphml	SCHED	0.03964478600000021
2	15207	False	13	60	0	2	0	model-15207.graphml	SCHED	0.035851955000000046
2	15208	False	13	60	0	2	0	model-15208.graphml	SCHED	0.07102760199999913
2	15209	False	13	60	0	2	0	model-15209.graphml	SCHED	0.04946561300000063
2	15210	False	13	60	0	2	0	model-15210.graphml	SCHED	0.04523554899999915
2	15211	False	13	70	0	2	0	model-15211.graphml	SCHED	0.060429443000000305
2	15212	False	13	70	0	2	0	model-15212.graphml	SCHED	0.04809118799999901
2	15213	False	13	70	0	2	0	model-15213.graphml	SCHED	0.05802414200000072
2	15214	False	13	70	0	2	0	model-15214.graphml	SCHED	0.070473530000001
2	15215	False	13	70	0	2	0	model-15215.graphml	SCHED	0.04324872000000113
2	15216	False	13	70	0	2	0	model-15216.graphml	SCHED	0.07647475000000092
2	15217	False	13	70	0	2	0	model-15217.graphml	SCHED	0.0509464959999999
2	15218	False	13	70	0	2	0	model-15218.graphml	SCHED	0.05399595300000115
2	15219	False	13	70	0	2	0	model-15219.graphml	SCHED	0.04467347599999982
2	15220	False	13	70	0	2	0	model-15220.graphml	SCHED	0.04458780499999904
2	15221	False	13	80	0	2	0	model-15221.graphml	SCHED	0.04102119500000079
2	15222	False	13	80	0	2	0	model-15222.graphml	SCHED	0.04974262400000029
2	15223	False	13	80	0	2	0	model-15223.graphml	SCHED	0.037741289999999594
2	15224	False	13	80	0	2	0	model-15224.graphml	SCHED	0.0618898140000006
2	15225	False	13	80	0	2	0	model-15225.graphml	SCHED	0.03651936800000044
2	15226	False	13	80	0	2	0	model-15226.graphml	SCHED	0.03714005699999845
2	15227	False	13	80	0	2	0	model-15227.graphml	SCHED	0.04467584499999866
2	15228	False	13	80	0	2	0	model-15228.graphml	SCHED	0.047121038000000226
2	15229	False	13	80	0	2	0	model-15229.graphml	SCHED	0.051268794000000284
2	15230	False	13	80	0	2	0	model-15230.graphml	SCHED	0.054554738000000214
2	15231	False	13	90	0	2	0	model-15231.graphml	SCHED	0.05872756099999954
2	15232	False	13	90	0	2	0	model-15232.graphml	SCHED	0.06642006800000111
2	15233	False	13	90	0	2	0	model-15233.graphml	SCHED	0.04863272400000085
2	15234	False	13	90	0	2	0	model-15234.graphml	SCHED	0.04622711599999896
2	15235	False	13	90	0	2	0	model-15235.graphml	SCHED	0.04069615200000065
2	15236	False	13	90	0	2	0	model-15236.graphml	SCHED	0.04403787699999917
2	15237	False	13	90	0	2	0	model-15237.graphml	SCHED	0.04526807899999952
2	15238	False	13	90	0	2	0	model-15238.graphml	SCHED	0.040310427000001425
2	15239	False	13	90	0	2	0	model-15239.graphml	SCHED	0.053674434999999576
2	15240	False	13	90	0	2	0	model-15240.graphml	SCHED	0.1240810769999996
2	15241	False	13	95	0	2	0	model-15241.graphml	SCHED	0.0660430079999994
2	15242	False	13	95	0	2	0	model-15242.graphml	SCHED	0.06291049200000032
2	15243	False	13	95	0	2	0	model-15243.graphml	SCHED	0.06470799400000082
2	15244	False	13	95	0	2	0	model-15244.graphml	SCHED	0.048071441999999465
2	15245	False	13	95	0	2	0	model-15245.graphml	SCHED	0.07282355399999929
