Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
1	15121	False	13	50	0	2	0	model-15121.graphml	T12	3061
1	15122	False	13	50	0	2	0	model-15122.graphml	T12	3413
1	15123	False	13	50	0	2	0	model-15123.graphml	T25	3240
1	15124	False	13	50	0	2	0	model-15124.graphml	T25	3067
1	15125	False	13	50	0	2	0	model-15125.graphml	T12	3325
1	15126	False	13	50	0	2	0	model-15126.graphml	T25	3413
1	15127	False	13	50	0	2	0	model-15127.graphml	T12	3149
1	15128	False	13	50	0	2	0	model-15128.graphml	T12	3313
1	15129	False	13	50	0	2	0	model-15129.graphml	T25	3413
1	15130	False	13	50	0	2	0	model-15130.graphml	T12	3413
1	15131	False	13	60	0	2	0	model-15131.graphml	T25	4096
1	15132	False	13	60	0	2	0	model-15132.graphml	T12	4096
1	15133	False	13	60	0	2	0	model-15133.graphml	T25	4096
1	15134	False	13	60	0	2	0	model-15134.graphml	T25	4096
1	15135	False	13	60	0	2	0	model-15135.graphml	T25	3888
1	15136	False	13	60	0	2	0	model-15136.graphml	T25	3888
1	15137	False	13	60	0	2	0	model-15137.graphml	T25	2848
1	15138	False	13	60	0	2	0	model-15138.graphml	T12	3990
1	15139	False	13	60	0	2	0	model-15139.graphml	T25	4096
1	15140	False	13	60	0	2	0	model-15140.graphml	T12	3778
1	15141	False	13	70	0	2	0	model-15141.graphml	T12	6396
1	15142	False	13	70	0	2	0	model-15142.graphml	T25	6272
1	15143	False	13	70	0	2	0	model-15143.graphml	T25	6272
1	15144	False	13	70	0	2	0	model-15144.graphml	T12	6396
1	15145	False	13	70	0	2	0	model-15145.graphml	T12	6396
1	15146	False	13	70	0	2	0	model-15146.graphml	T25	6272
1	15147	False	13	70	0	2	0	model-15147.graphml	T25	6029
1	15148	False	13	70	0	2	0	model-15148.graphml	T12	5404
1	15149	False	13	70	0	2	0	model-15149.graphml	T25	6029
1	15150	False	13	70	0	2	0	model-15150.graphml	T12	6396
1	15151	False	13	80	0	2	0	model-15151.graphml	T25	7168
