Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Mixed	Time
1	15121	False	13	50	0	2	0	model-15121.graphml	SCHED	0.042150173999999985
1	15122	False	13	50	0	2	0	model-15122.graphml	SCHED	0.04203330100000002
1	15123	False	13	50	0	2	0	model-15123.graphml	SCHED	0.04207617099999994
1	15124	False	13	50	0	2	0	model-15124.graphml	SCHED	0.04189965299999998
1	15125	False	13	50	0	2	0	model-15125.graphml	SCHED	0.04157177999999995
1	15126	False	13	50	0	2	0	model-15126.graphml	SCHED	0.04191391999999994
1	15127	False	13	50	0	2	0	model-15127.graphml	SCHED	0.04223552600000002
1	15128	False	13	50	0	2	0	model-15128.graphml	SCHED	0.04175933600000015
1	15129	False	13	50	0	2	0	model-15129.graphml	SCHED	0.04170415500000013
1	15130	False	13	50	0	2	0	model-15130.graphml	SCHED	0.04192528600000012
1	15131	False	13	60	0	2	0	model-15131.graphml	SCHED	0.04212112599999984
1	15132	False	13	60	0	2	0	model-15132.graphml	SCHED	0.042030789999999874
1	15133	False	13	60	0	2	0	model-15133.graphml	SCHED	0.04190676999999998
1	15134	False	13	60	0	2	0	model-15134.graphml	SCHED	0.038512780999999885
1	15135	False	13	60	0	2	0	model-15135.graphml	SCHED	0.03153105899999997
1	15136	False	13	60	0	2	0	model-15136.graphml	SCHED	0.03183951100000004
1	15137	False	13	60	0	2	0	model-15137.graphml	SCHED	0.031858652000000154
1	15138	False	13	60	0	2	0	model-15138.graphml	SCHED	0.031405939999999966
1	15139	False	13	60	0	2	0	model-15139.graphml	SCHED	0.03154451100000011
1	15140	False	13	60	0	2	0	model-15140.graphml	SCHED	0.03144124700000006
1	15141	False	13	70	0	2	0	model-15141.graphml	SCHED	0.03172089800000011
1	15142	False	13	70	0	2	0	model-15142.graphml	SCHED	0.03175531300000012
1	15143	False	13	70	0	2	0	model-15143.graphml	SCHED	0.03605740300000004
1	15144	False	13	70	0	2	0	model-15144.graphml	SCHED	0.031399095999999904
1	15145	False	13	70	0	2	0	model-15145.graphml	SCHED	0.031456048999999986
1	15146	False	13	70	0	2	0	model-15146.graphml	SCHED	0.03146777700000003
1	15147	False	13	70	0	2	0	model-15147.graphml	SCHED	0.03157351800000008
1	15148	False	13	70	0	2	0	model-15148.graphml	SCHED	0.031741185000000005
1	15149	False	13	70	0	2	0	model-15149.graphml	SCHED	0.031309027999999905
1	15150	False	13	70	0	2	0	model-15150.graphml	SCHED	0.031336609000000015
1	15151	False	13	80	0	2	0	model-15151.graphml	SCHED	0.03215267200000005
1	15152	False	13	80	0	2	0	model-15152.graphml	SCHED	0.033044274999999956
1	15153	False	13	80	0	2	0	model-15153.graphml	SCHED	0.031502928999999735
1	15154	False	13	80	0	2	0	model-15154.graphml	SCHED	0.03138598700000017
1	15155	False	13	80	0	2	0	model-15155.graphml	SCHED	0.031320499
1	15156	False	13	80	0	2	0	model-15156.graphml	SCHED	0.031794674999999994
1	15157	False	13	80	0	2	0	model-15157.graphml	SCHED	0.03149189400000019
1	15158	False	13	80	0	2	0	model-15158.graphml	SCHED	0.03159131800000026
