Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Mixed
t25	1	2	3	4	5	6	7	210
t39	1	2	3	4	5	6	7	210
t17	1	2	3	4	5	6	7	210
t25	1	2	3	4	5	7	6	160
t39	1	2	3	4	5	7	6	210
t17	1	2	3	4	5	7	6	160
t25	1	2	3	4	6	5	7	210
t39	1	2	3	4	6	5	7	210
t17	1	2	3	4	6	5	7	210
t25	1	2	3	4	6	7	5	120
t39	1	2	3	4	6	7	5	210
t17	1	2	3	4	6	7	5	120
t25	1	2	3	4	7	5	6	120
t39	1	2	3	4	7	5	6	210
t17	1	2	3	4	7	5	6	120
t25	1	2	3	4	7	6	5	120
t39	1	2	3	4	7	6	5	210
t17	1	2	3	4	7	6	5	120
t25	1	2	3	5	4	6	7	210
t39	1	2	3	5	4	6	7	210
t17	1	2	3	5	4	6	7	210
t25	1	2	3	5	4	7	6	160
t39	1	2	3	5	4	7	6	210
t17	1	2	3	5	4	7	6	160
t25	1	2	3	5	6	4	7	210
t39	1	2	3	5	6	4	7	210
t17	1	2	3	5	6	4	7	210
t25	1	2	3	5	6	7	4	120
t39	1	2	3	5	6	7	4	210
t17	1	2	3	5	6	7	4	80
t25	1	2	3	5	7	4	6	120
t39	1	2	3	5	7	4	6	210
t17	1	2	3	5	7	4	6	120
t25	1	2	3	5	7	6	4	120
t39	1	2	3	5	7	6	4	210
t17	1	2	3	5	7	6	4	80
t25	1	2	3	6	4	5	7	210
t39	1	2	3	6	4	5	7	210
t17	1	2	3	6	4	5	7	210
t25	1	2	3	6	4	7	5	160
t39	1	2	3	6	4	7	5	210
t17	1	2	3	6	4	7	5	150
t25	1	2	3	6	5	4	7	210
t39	1	2	3	6	5	4	7	210
t17	1	2	3	6	5	4	7	210
t25	1	2	3	6	5	7	4	160
t39	1	2	3	6	5	7	4	210
t17	1	2	3	6	5	7	4	80
t25	1	2	3	6	7	4	5	120
t39	1	2	3	6	7	4	5	210
t17	1	2	3	6	7	4	5	100
t25	1	2	3	6	7	5	4	120
t39	1	2	3	6	7	5	4	210
t17	1	2	3	6	7	5	4	80
t25	1	2	3	7	4	5	6	210
t39	1	2	3	7	4	5	6	180
t17	1	2	3	7	4	5	6	170
t25	1	2	3	7	4	6	5	210
t39	1	2	3	7	4	6	5	180
t17	1	2	3	7	4	6	5	150
t25	1	2	3	7	5	4	6	210
t39	1	2	3	7	5	4	6	180
t17	1	2	3	7	5	4	6	170
t25	1	2	3	7	5	6	4	210
t39	1	2	3	7	5	6	4	180
t17	1	2	3	7	5	6	4	80
t25	1	2	3	7	6	4	5	210
t39	1	2	3	7	6	4	5	180
t17	1	2	3	7	6	4	5	100
t25	1	2	3	7	6	5	4	210
t39	1	2	3	7	6	5	4	180
t17	1	2	3	7	6	5	4	80
t25	1	2	4	3	5	6	7	210
t39	1	2	4	3	5	6	7	210
t17	1	2	4	3	5	6	7	210
t25	1	2	4	3	5	7	6	160
t39	1	2	4	3	5	7	6	210
t17	1	2	4	3	5	7	6	160
t25	1	2	4	3	6	5	7	210
t39	1	2	4	3	6	5	7	210
t17	1	2	4	3	6	5	7	210
t25	1	2	4	3	6	7	5	120
t39	1	2	4	3	6	7	5	210
t17	1	2	4	3	6	7	5	120
t25	1	2	4	3	7	5	6	120
t39	1	2	4	3	7	5	6	210
t17	1	2	4	3	7	5	6	120
t25	1	2	4	3	7	6	5	120
t39	1	2	4	3	7	6	5	210
t17	1	2	4	3	7	6	5	120
t25	1	2	4	5	3	6	7	210
t39	1	2	4	5	3	6	7	210
t17	1	2	4	5	3	6	7	210
t25	1	2	4	5	3	7	6	160
t39	1	2	4	5	3	7	6	210
t17	1	2	4	5	3	7	6	160
t25	1	2	4	5	6	3	7	210
t39	1	2	4	5	6	3	7	210
t17	1	2	4	5	6	3	7	210
t25	1	2	4	5	6	7	3	120
t39	1	2	4	5	6	7	3	210
t17	1	2	4	5	6	7	3	80
t25	1	2	4	5	7	3	6	120
t39	1	2	4	5	7	3	6	210
t17	1	2	4	5	7	3	6	120
t25	1	2	4	5	7	6	3	120
t39	1	2	4	5	7	6	3	210
t17	1	2	4	5	7	6	3	80
t25	1	2	4	6	3	5	7	210
t39	1	2	4	6	3	5	7	210
t17	1	2	4	6	3	5	7	210
t25	1	2	4	6	3	7	5	160
t39	1	2	4	6	3	7	5	210
t17	1	2	4	6	3	7	5	150
t25	1	2	4	6	5	3	7	210
t39	1	2	4	6	5	3	7	210
t17	1	2	4	6	5	3	7	210
t25	1	2	4	6	5	7	3	160
t39	1	2	4	6	5	7	3	210
t17	1	2	4	6	5	7	3	80
t25	1	2	4	6	7	3	5	120
t39	1	2	4	6	7	3	5	210
t17	1	2	4	6	7	3	5	100
t25	1	2	4	6	7	5	3	120
t39	1	2	4	6	7	5	3	210
t17	1	2	4	6	7	5	3	80
t25	1	2	4	7	3	5	6	210
t39	1	2	4	7	3	5	6	180
t17	1	2	4	7	3	5	6	170
t25	1	2	4	7	3	6	5	210
t39	1	2	4	7	3	6	5	180
t17	1	2	4	7	3	6	5	150
t25	1	2	4	7	5	3	6	210
t39	1	2	4	7	5	3	6	180
t17	1	2	4	7	5	3	6	170
t25	1	2	4	7	5	6	3	210
t39	1	2	4	7	5	6	3	180
t17	1	2	4	7	5	6	3	80
t25	1	2	4	7	6	3	5	210
t39	1	2	4	7	6	3	5	180
t17	1	2	4	7	6	3	5	100
t25	1	2	4	7	6	5	3	210
t39	1	2	4	7	6	5	3	180
t17	1	2	4	7	6	5	3	80
t25	1	2	5	3	4	6	7	210
t39	1	2	5	3	4	6	7	210
t17	1	2	5	3	4	6	7	210
t25	1	2	5	3	4	7	6	160
t39	1	2	5	3	4	7	6	210
t17	1	2	5	3	4	7	6	160
t25	1	2	5	3	6	4	7	210
t39	1	2	5	3	6	4	7	210
t17	1	2	5	3	6	4	7	210
t25	1	2	5	3	6	7	4	120
