Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	CPA
t39	1	2	3	4	5	1930
t17	1	2	3	4	5	490
t25	1	2	3	4	5	740
t39	1	2	3	5	4	1910
t17	1	2	3	5	4	490
t25	1	2	3	5	4	740
t39	1	2	4	3	5	1950
t17	1	2	4	3	5	490
t25	1	2	4	3	5	740
t39	1	2	4	5	3	1910
t17	1	2	4	5	3	490
t25	1	2	4	5	3	740
t39	1	2	5	3	4	1950
t17	1	2	5	3	4	490
t25	1	2	5	3	4	740
t39	1	2	5	4	3	1930
t17	1	2	5	4	3	490
t25	1	2	5	4	3	740
t39	1	3	2	4	5	1685
t17	1	3	2	4	5	490
t25	1	3	2	4	5	1040
t39	1	3	2	5	4	1705
t17	1	3	2	5	4	490
t25	1	3	2	5	4	1040
t39	1	3	4	2	5	1895
t17	1	3	4	2	5	490
t25	1	3	4	2	5	840
t39	1	3	4	5	2	1705
t17	1	3	4	5	2	490
t25	1	3	4	5	2	1040
t39	1	3	5	2	4	1895
t17	1	3	5	2	4	490
t25	1	3	5	2	4	840
t39	1	3	5	4	2	1685
t17	1	3	5	4	2	490
t25	1	3	5	4	2	1040
t39	1	4	2	3	5	1635
t17	1	4	2	3	5	490
t25	1	4	2	3	5	1090
t39	1	4	2	5	3	1505
t17	1	4	2	5	3	490
t25	1	4	2	5	3	1340
t39	1	4	3	2	5	1655
t17	1	4	3	2	5	490
t25	1	4	3	2	5	1090
t39	1	4	3	5	2	1470
t17	1	4	3	5	2	490
t25	1	4	3	5	2	1340
t39	1	4	5	2	3	1580
t17	1	4	5	2	3	490
t25	1	4	5	2	3	1040
t39	1	4	5	3	2	1590
t17	1	4	5	3	2	490
t25	1	4	5	3	2	1090
t39	1	5	2	3	4	1400
t17	1	5	2	3	4	490
t25	1	5	2	3	4	1340
t39	1	5	2	4	3	1410
t17	1	5	2	4	3	490
t25	1	5	2	4	3	1390
t39	1	5	3	2	4	1380
t17	1	5	3	2	4	490
t25	1	5	3	2	4	1340
t39	1	5	3	4	2	1370
t17	1	5	3	4	2	490
t25	1	5	3	4	2	1390
t39	1	5	4	2	3	1305
t17	1	5	4	2	3	490
t25	1	5	4	2	3	1340
t39	1	5	4	3	2	1320
t17	1	5	4	3	2	490
t25	1	5	4	3	2	1340
t39	2	1	3	4	5	1930
t17	2	1	3	4	5	840
t25	2	1	3	4	5	490
t39	2	1	3	5	4	1910
t17	2	1	3	5	4	840
t25	2	1	3	5	4	490
t39	2	1	4	3	5	1950
t17	2	1	4	3	5	840
t25	2	1	4	3	5	490
t39	2	1	4	5	3	1910
t17	2	1	4	5	3	840
t25	2	1	4	5	3	490
t39	2	1	5	3	4	1950
t17	2	1	5	3	4	840
t25	2	1	5	3	4	490
t39	2	1	5	4	3	1930
t17	2	1	5	4	3	840
t25	2	1	5	4	3	490
t39	2	3	1	4	5	1405
t17	2	3	1	4	5	910
t25	2	3	1	4	5	1160
t39	2	3	1	5	4	1425
t17	2	3	1	5	4	910
t25	2	3	1	5	4	1160
t39	2	3	4	1	5	1825
t17	2	3	4	1	5	560
t25	2	3	4	1	5	860
t39	2	3	4	5	1	1390
t17	2	3	4	5	1	840
t25	2	3	4	5	1	1090
t39	2	3	5	1	4	1825
t17	2	3	5	1	4	560
t25	2	3	5	1	4	860
t39	2	3	5	4	1	1250
t17	2	3	5	4	1	840
t25	2	3	5	4	1	1090
t39	2	4	1	3	5	1285
t17	2	4	1	3	5	910
t25	2	4	1	3	5	1210
t39	2	4	1	5	3	1030
t17	2	4	1	5	3	840
t25	2	4	1	5	3	1340
t39	2	4	3	1	5	1510
t17	2	4	3	1	5	560
t25	2	4	3	1	5	1110
t39	2	4	3	5	1	970
t17	2	4	3	5	1	770
t25	2	4	3	5	1	1220
t39	2	4	5	1	3	1470
t17	2	4	5	1	3	560
t25	2	4	5	1	3	1060
t39	2	4	5	3	1	1200
t17	2	4	5	3	1	840
t25	2	4	5	3	1	1140
t39	2	5	1	3	4	920
t17	2	5	1	3	4	770
t25	2	5	1	3	4	1320
t39	2	5	1	4	3	920
t17	2	5	1	4	3	770
t25	2	5	1	4	3	1320
t39	2	5	3	1	4	1235
t17	2	5	3	1	4	560
t25	2	5	3	1	4	1360
t39	2	5	3	4	1	920
