Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	EMSOFT17
t39	1	2	3	4	5	210
t25	1	2	3	4	5	120
t17	1	2	3	4	5	70
t39	1	2	3	5	4	210
t25	1	2	3	5	4	120
t17	1	2	3	5	4	70
t39	1	2	4	3	5	210
t25	1	2	4	3	5	120
t17	1	2	4	3	5	70
t39	1	2	4	5	3	210
t25	1	2	4	5	3	120
t17	1	2	4	5	3	70
t39	1	2	5	3	4	210
t25	1	2	5	3	4	120
t17	1	2	5	3	4	70
t39	1	2	5	4	3	210
t25	1	2	5	4	3	120
t17	1	2	5	4	3	70
t39	1	3	2	4	5	210
t25	1	3	2	4	5	160
t17	1	3	2	4	5	70
t39	1	3	2	5	4	210
t25	1	3	2	5	4	160
t17	1	3	2	5	4	70
t39	1	3	4	2	5	210
t25	1	3	4	2	5	130
t17	1	3	4	2	5	70
t39	1	3	4	5	2	210
t25	1	3	4	5	2	160
t17	1	3	4	5	2	70
t39	1	3	5	2	4	210
t25	1	3	5	2	4	130
t17	1	3	5	2	4	70
t39	1	3	5	4	2	210
t25	1	3	5	4	2	160
t17	1	3	5	4	2	70
t39	1	4	2	3	5	210
t25	1	4	2	3	5	170
t17	1	4	2	3	5	70
t39	1	4	2	5	3	210
t25	1	4	2	5	3	200
t17	1	4	2	5	3	70
t39	1	4	3	2	5	210
t25	1	4	3	2	5	170
t17	1	4	3	2	5	70
t39	1	4	3	5	2	210
t25	1	4	3	5	2	200
t17	1	4	3	5	2	70
t39	1	4	5	2	3	210
t25	1	4	5	2	3	170
t17	1	4	5	2	3	70
t39	1	4	5	3	2	210
t25	1	4	5	3	2	170
t17	1	4	5	3	2	70
t39	1	5	2	3	4	160
t25	1	5	2	3	4	210
t17	1	5	2	3	4	70
t39	1	5	2	4	3	160
t25	1	5	2	4	3	210
t17	1	5	2	4	3	70
t39	1	5	3	2	4	160
t25	1	5	3	2	4	210
t17	1	5	3	2	4	70
t39	1	5	3	4	2	160
t25	1	5	3	4	2	210
t17	1	5	3	4	2	70
t39	1	5	4	2	3	160
t25	1	5	4	2	3	210
t17	1	5	4	2	3	70
t39	1	5	4	3	2	160
t25	1	5	4	3	2	210
t17	1	5	4	3	2	70
t39	2	1	3	4	5	210
t25	2	1	3	4	5	120
t17	2	1	3	4	5	120
t39	2	1	3	5	4	210
t25	2	1	3	5	4	120
t17	2	1	3	5	4	120
t39	2	1	4	3	5	210
t25	2	1	4	3	5	120
t17	2	1	4	3	5	120
t39	2	1	4	5	3	210
t25	2	1	4	5	3	120
